Keuwl Accelerometer Data File
2024-04-30 17:10:56
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.2062655,0.581157,8.883952,4.445565,9.951151,63.465359,86.257248"
"0.2087816,0.576371,8.816954,4.464708,9.899722,63.192574,86.259850"
"0.2112977,0.573978,8.804989,4.435994,9.875998,63.309605,86.270287"
"0.2138242,0.573978,8.778668,4.445565,9.856852,63.191322,86.259140"
"0.2163405,0.583550,8.752347,4.459922,9.840478,63.049400,86.185532"
"0.2188569,0.569193,8.769096,4.464708,9.856706,63.066151,86.286201"
"0.2213732,0.545264,8.749954,4.469493,9.840497,62.986923,86.434151"
"0.2238896,0.550050,8.761918,4.469493,9.851402,63.019253,86.407837"
"0.2264060,0.557229,8.814561,4.479065,9.902980,63.108997,86.382759"
"0.2289223,0.564407,8.814561,4.467101,9.897982,63.171959,86.336281"
"0.2314387,0.514158,8.795418,4.452744,9.871710,63.188217,86.654442"
"0.2339510,0.518943,8.783454,4.459922,9.864546,63.120453,86.618782"
"0.2364672,0.499801,8.778668,4.462315,9.860379,63.092590,86.741463"
"0.2389835,0.538086,8.776276,4.438387,9.849458,63.216373,86.491508"
"0.2414997,0.516551,8.771489,4.421637,9.836499,63.287540,86.629761"
"0.2440160,0.499801,8.773883,4.397709,9.827038,63.415886,86.739693"
"0.2465323,0.523729,8.740383,4.390531,9.795170,63.369549,86.570900"
"0.2490485,0.533300,8.733205,4.402494,9.794653,63.289715,86.505524"
"0.2515648,0.533300,8.737990,4.426423,9.809694,63.177410,86.507431"
"0.2540769,0.490230,8.716455,4.385745,9.769937,63.326736,86.780968"
"0.2565931,0.485444,8.680264,4.361816,9.726668,63.356430,86.799065"
"0.2591092,0.502194,8.675478,4.416852,9.748061,63.057217,86.687042"
"0.2616253,0.468694,8.646764,4.412066,9.718669,63.000778,86.897346"
"0.2641415,0.483051,8.663513,4.400102,9.728859,63.110378,86.808670"
