Keuwl Accelerometer Data File
2024-04-22 15:55:23
""
"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.1889728,-1.057950,9.400950,2.083950,9.687103,77.577065,96.420853"
"0.1913648,-1.075050,9.417001,2.058000,9.699020,77.749489,96.512726"
"0.1937567,-1.069950,9.427051,2.070000,9.710766,77.692078,96.475243"
"0.1961490,-1.053000,9.453000,2.071950,9.734526,77.710838,96.356155"
"0.1985411,-1.041000,9.475051,2.116050,9.764114,77.483719,96.269798"
"0.2009331,-1.032000,9.457951,2.119950,9.747412,77.438438,96.227165"
"0.2033251,-0.994050,9.444000,2.116050,9.729077,77.437912,96.008675"
"0.2057173,-0.972000,9.421950,2.130000,9.708493,77.326469,95.889992"
"0.2081093,-0.937950,9.409950,2.116050,9.690438,77.386993,95.692238"
"0.2105013,-0.927000,9.415051,2.106000,9.692148,77.450127,95.623184"
"0.2128933,-0.934050,9.420000,2.106000,9.697633,77.457344,95.662712"
"0.2152853,-0.910050,9.400950,2.101050,9.675768,77.458565,95.529236"
"0.2176776,-0.883050,9.391050,2.082000,9.659520,77.552872,95.371788"
"0.2200696,-0.843000,9.393001,2.092050,9.660009,77.492455,95.128426"
"0.2224616,-0.847950,9.396001,2.098950,9.664856,77.456932,95.156738"
"0.2248537,-0.804000,9.385950,2.101050,9.651782,77.426888,94.896004"
"0.2272457,-0.784950,9.355050,2.092050,9.618200,77.437202,94.796257"
"0.2296379,-0.771000,9.355050,2.101050,9.619034,77.383377,94.711403"
"0.2320299,-0.787950,9.355050,2.104050,9.621063,77.367775,94.814499"
"0.2344219,-0.771000,9.372001,2.122950,9.640320,77.278297,94.702919"
"0.2368140,-0.735000,9.360001,2.094000,9.619494,77.427017,94.489975"
"0.2392060,-0.730050,9.340950,2.086950,9.599046,77.442909,94.468918"
"0.2415980,-0.718050,9.364950,2.098950,9.624109,77.402954,94.384529"
"0.2439902,-0.706050,9.355050,2.101050,9.614046,77.376724,94.316078"
"0.2463822,-0.666000,9.360001,2.094000,9.614469,77.420341,94.069954"
"0.2487743,-0.678000,9.337951,2.106000,9.596471,77.322937,94.152786"
"0.2511663,-0.685050,9.355050,2.104050,9.613182,77.357246,94.188171"
"0.2535583,-0.658050,9.372001,2.086950,9.624073,77.476097,94.016403"
"0.2559505,-0.666000,9.357000,2.107950,9.614596,77.335320,94.071259"
"0.2583425,-0.682050,9.343050,2.104050,9.601292,77.341331,94.175232"
"0.2607345,-0.712950,9.328951,2.130000,9.595548,77.174767,94.370239"
"0.2631266,-0.735000,9.336000,2.130000,9.604063,77.186333,94.501472"
"0.2655186,-0.748950,9.349951,2.151000,9.623373,77.084236,94.579727"
"0.2679108,-0.772950,9.360001,2.131950,9.630798,77.210609,94.720779"
"0.2703028,-0.768000,9.364950,2.142000,9.637442,77.158302,94.688217"
"0.2726948,-0.763950,9.352950,2.158950,9.629245,77.043709,94.669563"
"0.2750869,-0.759000,9.379050,2.175000,9.657810,76.984985,94.626579"
"0.2774791,-0.783000,9.385950,2.191950,9.670253,76.898941,94.768723"
"0.2798711,-0.802050,9.381001,2.182950,9.664974,76.946426,94.886749"
"0.2822631,-0.799950,9.400950,2.163000,9.679688,77.087799,94.863724"
"0.2846552,-0.780000,9.420000,2.161050,9.696130,77.121895,94.733437"
"0.2870472,-0.796950,9.409950,2.142000,9.683515,77.220436,94.840958"
"0.2894394,-0.796950,9.397950,2.161050,9.676091,77.094765,94.847107"
"0.2918312,-0.807000,9.420000,2.119950,9.689264,77.361809,94.896507"
"0.2942235,-0.799950,9.405001,2.106000,9.671049,77.422302,94.861641"
"0.2966155,-0.814050,9.405001,2.113050,9.673763,77.383102,94.946907"
"0.2990075,-0.802050,9.393001,2.134950,9.665907,77.239609,94.880539"
"0.3013997,-0.844950,9.405001,2.130000,9.680128,77.288712,95.133698"
"0.3037917,-0.835950,9.397950,2.155950,9.678244,77.128654,95.083099"
"0.3061837,-0.832950,9.373950,2.149050,9.653143,77.136627,95.077850"
"0.3085758,-0.832950,9.385950,2.151000,9.665230,77.141129,95.071388"
"0.3109678,-0.804000,9.400950,2.166000,9.680695,77.070953,94.888229"
"0.3133598,-0.814050,9.373950,2.187000,9.660050,76.915001,94.963211"
"0.3157521,-0.819000,9.379050,2.179950,9.663826,76.963112,94.990540"
"0.3181441,-0.795000,9.393001,2.161050,9.671124,77.088020,94.837845"
"0.3205361,-0.802050,9.384001,2.173050,9.665656,77.007599,94.885193"
"0.3229281,-0.823950,9.405001,2.187000,9.691022,76.957558,95.006767"
"0.3253201,-0.804000,9.384001,2.158950,9.662658,77.089287,94.897011"
"0.3277124,-0.804000,9.396001,2.154000,9.673209,77.133690,94.890793"
"0.3301044,-0.835950,9.388950,2.142000,9.666404,77.197426,95.087944"
"0.3324963,-0.828000,9.373950,2.134950,9.649588,77.217667,95.047829"
"0.3348884,-0.807000,9.381001,2.143950,9.656653,77.172417,94.916763"
"0.3372805,-0.802050,9.384001,2.155950,9.661826,77.106407,94.885193"
"0.3396727,-0.790050,9.388950,2.158950,9.666314,77.094261,94.809921"
"0.3420646,-0.808950,9.369000,2.167950,9.650522,77.017944,94.934868"
"0.3444567,-0.796950,9.364950,2.218950,9.657182,76.716354,94.864105"
"0.3468487,-0.802050,9.352950,2.215950,9.645278,76.717964,94.901337"
"0.3492410,-0.790050,9.364950,2.218950,9.656614,76.715553,94.822197"
"0.3516330,-0.787950,9.367050,2.235000,9.662180,76.625542,94.808365"
"0.3540249,-0.816000,9.385950,2.239950,9.683971,76.626091,94.968712"
"0.3564169,-0.795000,9.384001,2.238000,9.679883,76.632202,94.842461"
"0.3588091,-0.783000,9.385950,2.242050,9.681732,76.610168,94.768723"
"0.3612010,-0.772950,9.376950,2.250000,9.674045,76.550919,94.712288"
"0.3635933,-0.790050,9.364950,2.262000,9.666598,76.467216,94.822197"
"0.3659852,-0.796950,9.372001,2.299950,9.682939,76.259430,94.860466"
"0.3683773,-0.823950,9.361951,2.302050,9.675973,76.236542,95.029671"
"0.3707693,-0.831000,9.361951,2.293050,9.674438,76.289185,95.072479"
"0.3731613,-0.799950,9.384001,2.283000,9.690794,76.373924,94.872467"
"0.3755535,-0.819000,9.376950,2.290050,9.687222,76.325897,94.991653"
"0.3779456,-0.826050,9.357000,2.295000,9.669687,76.270424,95.045074"
"0.3803376,-0.816000,9.331051,2.305050,9.646119,76.174751,94.997803"
"0.3827296,-0.804000,9.322050,2.305050,9.636404,76.160538,94.929398"
"0.3851216,-0.804000,9.334050,2.317050,9.650887,76.108337,94.923088"
"0.3875139,-0.772950,9.336000,2.314050,9.649517,76.124680,94.732864"
"0.3899059,-0.766050,9.313951,2.283000,9.620218,76.272011,94.701859"
"0.3922979,-0.772950,9.352950,2.278050,9.657362,76.356064,94.724327"
"0.3946899,-0.763950,9.328951,2.287950,9.635749,76.264275,94.681519"
"0.3970819,-0.748950,9.319051,2.283000,9.623811,76.277237,94.594849"
"0.3994739,-0.733050,9.334050,2.271000,9.634277,76.365883,94.490509"
"0.4018662,-0.736950,9.336000,2.251950,9.631992,76.479164,94.513359"
"0.4042582,-0.742050,9.355050,2.223000,9.644135,76.673325,94.535248"
"0.4066503,-0.760950,9.373950,2.163000,9.650313,77.047813,94.640930"
"0.4090423,-0.790050,9.400950,2.125050,9.670465,77.305862,94.803810"
"0.4114345,-0.792000,9.396001,2.130000,9.666903,77.271027,94.818138"
"0.4138265,-0.840000,9.409950,2.154000,9.689814,77.156120,95.101112"
"0.4162185,-0.847950,9.465000,2.191950,9.752430,77.011269,95.119347"
"0.4186105,-0.862050,9.469951,2.266050,9.775381,76.596230,95.201302"
"0.4210025,-0.840000,9.441000,2.275950,9.747719,76.497643,95.084427"
"0.4233948,-0.855000,9.405001,2.308950,9.721951,76.261047,95.194427"
"0.4257868,-0.787950,9.352950,2.320950,9.668782,76.110764,94.815575"
"0.4281788,-0.699000,9.307051,2.317050,9.616575,76.057770,94.295097"
"0.4305708,-0.630000,9.295051,2.298000,9.595607,76.143875,93.877464"
"0.4329628,-0.571950,9.267000,2.290050,9.562884,76.144577,93.531761"
"0.4353551,-0.519000,9.264001,2.233050,9.543458,76.468048,93.206551"
"0.4377471,-0.510000,9.276000,2.202000,9.547412,76.665337,93.146988"
"0.4401391,-0.541050,9.325951,2.163000,9.588778,76.963234,93.320320"
"0.4425312,-0.571950,9.372001,2.173050,9.637617,76.969139,93.492287"
"0.4449231,-0.606000,9.415051,2.178000,9.682670,77.000771,93.682762"
"0.4473153,-0.649050,9.415051,2.163000,9.682097,77.091072,93.943588"
"0.4497074,-0.682050,9.396001,2.178000,9.669214,76.982361,94.151787"
"0.4520994,-0.694050,9.381001,2.173050,9.654379,76.992157,94.231300"
"0.4544914,-0.754050,9.385950,2.203950,9.670680,76.826523,94.593170"
"0.4568834,-0.747000,9.388950,2.262000,9.686436,76.495461,94.548965"
"0.4592757,-0.772950,9.364950,2.305050,9.675381,76.217392,94.718300"
"0.4616677,-0.787950,9.336000,2.374050,9.665293,75.781151,94.824280"
"0.4640597,-0.802050,9.286051,2.383950,9.620667,75.652954,94.936470"
"0.4664518,-0.790050,9.277950,2.407950,9.617836,75.501007,94.867195"
"0.4688438,-0.783000,9.247050,2.412000,9.588470,75.430618,94.840012"
"0.4712360,-0.759000,9.240001,2.412000,9.579741,75.417053,94.695900"
"0.4736280,-0.772950,9.256950,2.380950,9.589448,75.623741,94.773094"
"0.4760200,-0.772950,9.276000,2.347950,9.599713,75.842667,94.763336"
