X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
-3.064578,9.346964,-0.306458,91.784477
-3.677494,9.80665,-0.785298,94.287987
-4.443638,9.959879,-2.049437,100.642616
-4.443638,9.80665,-2.5187,103.166977
-3.677494,9.653421,-2.5187,103.702484
-2.298434,9.500193,-1.254562,97.314117
-0.919373,9.040505,0.306458,88.068466
-0.153229,9.040505,0.622492,86.06163
0.306458,9.040505,0.469264,87.030327
0.459687,9.193734,-0.153229,90.953651
0.459687,9.346964,-0.622492,93.805595
0.612916,9.346964,-0.469264,92.867966
0.612916,9.346964,0.153229,89.06282
0.306458,9.346964,0.622492,86.191864
-0.153229,9.346964,0.785298,85.198135
-0.612916,9.346964,1.101333,83.294212
-1.072602,9.500193,0.938527,84.393433
-1.225831,9.500193,0.622492,86.281837
-1.37906,9.500193,0.469264,87.201447
-1.37906,9.500193,0.0,90.0
-1.37906,9.653421,0.0,90.0
-1.225831,9.653421,-0.306458,91.803825
-0.766145,9.500193,-0.306458,91.841637
-0.459687,9.500193,-0.306458,91.845451
-0.153229,9.346964,-0.306458,91.877625
0.0,9.346964,-0.306458,91.877876
0.0,9.346964,-0.306458,91.877876
0.0,9.346964,-0.469264,92.874115
0.0,9.346964,-0.622492,93.810181
-0.153229,9.500193,-0.622492,93.748413
-0.306458,9.346964,-0.785298,94.799942
-0.459687,9.346964,-0.938527,95.726967
-0.459687,9.346964,-0.938527,95.726967
-0.612916,9.500193,-0.938527,95.630333
-0.612916,9.500193,-0.622492,93.741142
-0.766145,9.500193,-0.306458,91.841637
-0.919373,9.500193,-0.469264,92.814705
-1.072602,9.500193,-0.469264,92.810013
-1.072602,9.500193,-0.469264,92.810013
-1.072602,9.500193,-0.153229,90.918213
-1.225831,9.500193,-0.153229,90.916451
-1.225831,9.500193,-0.153229,90.916451
-1.532289,9.500193,-0.306458,91.824051
-1.532289,9.500193,-0.306458,91.824051
-1.37906,9.500193,-0.306458,91.828461
-1.37906,9.500193,-0.153229,90.914459
-1.532289,9.346964,-0.306458,91.853157
-1.532289,9.500193,-0.469264,92.791817
-1.532289,9.346964,-0.622492,93.760132
-1.532289,9.346964,-0.622492,93.760132
