"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.3871265,-0.647641,9.551696,-0.570213,9.590593,93.408554,93.878937"
"0.3920890,-0.789541,9.531260,-0.477653,9.575826,92.859161,94.735397"
"0.3970531,-0.866423,9.661830,-0.330630,9.706233,91.952080,95.124283"
"0.4020156,-0.789790,9.724127,-0.329959,9.761725,91.937042,94.643349"
"0.4069797,-0.522070,9.830889,-0.338971,9.850575,91.972008,93.039841"
"0.4119422,-0.345206,9.799066,-0.482805,9.817023,92.818970,92.017609"
"0.4169062,-0.295444,9.730275,-0.471093,9.746152,92.770546,91.739159"
"0.4218672,-0.459390,9.749649,-0.507810,9.773667,92.978256,92.697701"
"0.4268328,-0.527672,9.738875,-0.532442,9.767683,93.124771,93.101372"
"0.4317937,-0.591550,9.785466,-0.417731,9.812226,92.439957,93.459427"
"0.4367594,-0.646090,9.759944,-0.425976,9.790577,92.493660,93.787346"
"0.4417203,-0.693016,9.747869,-0.455693,9.783091,92.669785,94.066551"
"0.4466859,-0.654498,9.716877,-0.500628,9.751754,92.942696,93.853439"
"0.4516469,-0.544154,9.734546,-0.629359,9.770035,93.693398,93.199463"
"0.4566109,-0.557514,9.786693,-0.578372,9.819607,93.376663,93.260414"
"0.4615734,-0.481302,9.763238,-0.579675,9.792267,93.393730,92.822243"
"0.4665375,-0.470307,9.785686,-0.472443,9.808367,92.760857,92.751564"
"0.4715000,-0.497946,9.759771,-0.544997,9.787650,93.192001,92.920715"
"0.4764625,-0.518996,9.739507,-0.605561,9.772106,93.552795,93.050278"
"0.4814265,-0.553664,9.780716,-0.528841,9.810638,93.090019,93.239922"
"0.4863890,-0.548023,9.757243,-0.469378,9.783887,92.749802,93.214684"
"0.4913515,-0.552400,9.739345,-0.430525,9.764493,92.527039,93.246246"
"0.4963156,-0.540505,9.734116,-0.532892,9.763663,93.128708,93.178192"
"0.5012781,-0.509371,9.761534,-0.506604,9.787934,92.966835,92.987068"
"0.5062422,-0.527146,9.774252,-0.480258,9.800231,92.808891,93.087090"
"0.5112047,-0.530344,9.783513,-0.521936,9.811769,93.049286,93.102852"
"0.5161687,-0.493866,9.735964,-0.487479,9.760662,92.862724,92.903893"
"0.5211313,-0.515797,9.789843,-0.516324,9.817009,93.014854,93.015953"
"0.5260937,-0.481790,9.775669,-0.513077,9.800974,93.000786,92.821518"
"0.5310578,-0.497544,9.682564,-0.517722,9.709152,93.056641,92.941589"
"0.5360203,-0.540563,9.761160,-0.514121,9.789625,93.010384,93.169746"
"0.5409844,-0.568795,9.749064,-0.455301,9.776251,92.669350,93.339058"
"0.5459468,-0.551145,9.760576,-0.532796,9.790633,93.119514,93.231857"
"0.5509109,-0.498980,9.772882,-0.474809,9.797125,92.777878,92.922852"
"0.5558734,-0.509697,9.763334,-0.445427,9.786771,92.608612,92.988426"
"0.5608360,-0.480143,9.755874,-0.491597,9.780045,92.881203,92.817581"
"0.5658000,-0.556183,9.776531,-0.519523,9.806111,93.036919,93.256020"
"0.5707625,-0.599173,9.713764,-0.570088,9.748909,93.352402,93.529694"
"0.5757266,-0.563700,9.696593,-0.454381,9.723586,92.678398,93.327080"
"0.5806891,-0.593341,9.743903,-0.435783,9.771673,92.556046,93.484642"
"0.5856531,-0.521486,9.709332,-0.511823,9.736788,93.013191,93.074387"
"0.5906156,-0.564476,9.776512,-0.457091,9.803456,92.672417,93.304474"
"0.5955781,-0.554507,9.766888,-0.501662,9.795470,92.935608,93.249428"
"0.6005422,-0.524005,9.727612,-0.479836,9.753526,92.819870,93.083412"
"0.6055047,-0.547659,9.809064,-0.518009,9.837988,93.018250,93.195618"
"0.6104687,-0.573919,9.775631,-0.575499,9.809360,93.363380,93.359932"
"0.6154312,-0.562044,9.722958,-0.594643,9.757325,93.493958,93.308350"
"0.6203937,-0.522396,9.763813,-0.596788,9.795974,93.492722,93.062592"
"0.6253578,-0.457551,9.738492,-0.571755,9.765985,93.356331,92.689995"
"0.6303203,-0.437746,9.732640,-0.586924,9.760143,93.447548,92.575264"
"0.6352843,-0.465854,9.783915,-0.496557,9.807577,92.902122,92.726036"
"0.6402468,-0.454668,9.818497,-0.532672,9.843442,93.102043,92.651321"
"0.6452109,-0.518584,9.753442,-0.455789,9.777847,92.671776,93.043510"
"0.6501734,-0.564601,9.733800,-0.464437,9.761216,92.727150,93.319672"
"0.6551359,-0.611757,9.708670,-0.540582,9.742933,93.180664,93.605522"
"0.6600999,-0.655915,9.751527,-0.496385,9.786159,92.907471,93.848083"
"0.6650625,-0.630163,9.724653,-0.479683,9.756847,92.818008,93.707619"
"0.6700265,-0.560914,9.749754,-0.462895,9.776839,92.713745,93.292656"
"0.6749890,-0.504152,9.789766,-0.539643,9.817581,93.150970,92.948006"
"0.6799532,-0.495073,9.773601,-0.503481,9.799074,92.945183,92.899788"
"0.6849156,-0.508490,9.811630,-0.478429,9.836440,92.787872,92.966713"
"0.6898781,-0.502323,9.756639,-0.525489,9.783685,93.078880,92.947281"
"0.6948422,-0.530478,9.718573,-0.491108,9.745422,92.888573,93.124329"
"0.6998047,-0.585124,9.714109,-0.594250,9.749843,93.494331,93.447014"
"0.7047688,-0.568221,9.743060,-0.482374,9.771529,92.829575,93.337738"
"0.7097312,-0.545217,9.741854,-0.445934,9.767284,92.616798,93.203300"
"0.7146953,-0.492957,9.770411,-0.459332,9.793616,92.688225,92.888351"
"0.7196578,-0.541990,9.758881,-0.510549,9.787245,92.990173,93.178833"
"0.7246203,-0.508212,9.716839,-0.551557,9.745740,93.244370,92.993973"
"0.7295843,-0.462186,9.772816,-0.466630,9.794860,92.730621,92.707672"
"0.7345468,-0.538245,9.788876,-0.519752,9.817430,93.034760,93.147263"
"0.7395109,-0.536608,9.780668,-0.567780,9.811819,93.317383,93.140335"
"0.7444734,-0.552745,9.736050,-0.566640,9.768177,93.325531,93.249367"
"0.7494375,-0.518986,9.734537,-0.503788,9.761371,92.958374,93.051773"
"0.7544000,-0.521811,9.759082,-0.456938,9.783698,92.676918,93.060654"
"0.7593625,-0.551480,9.733675,-0.518776,9.763078,93.045929,93.242737"
"0.7643266,-0.568824,9.736384,-0.521802,9.766935,93.062508,93.343559"
"0.7692891,-0.555369,9.778896,-0.474847,9.806158,92.775536,93.250481"
"0.7742531,-0.533945,9.718304,-0.498521,9.745719,92.932121,93.144798"
"0.7792156,-0.522951,9.707942,-0.507772,9.735269,92.989792,93.083450"
"0.7841797,-0.533601,9.779711,-0.549460,9.809657,93.210938,93.123077"
"0.7891422,-0.512589,9.781405,-0.504382,9.807805,92.947823,92.999809"
"0.7941047,-0.518268,9.784346,-0.450119,9.808395,92.630295,93.032074"
"0.7990687,-0.522367,9.739574,-0.413603,9.762338,92.428192,93.070030"
"0.8040312,-0.553176,9.716945,-0.488657,9.744937,92.874283,93.258270"
"0.8089953,-0.614256,9.734498,-0.496299,9.766478,92.912827,93.610634"
"0.8139578,-0.617867,9.748500,-0.496749,9.780684,92.911232,93.626595"
"0.8189218,-0.551327,9.722767,-0.483648,9.750388,92.843208,93.245468"
"0.8238843,-0.609315,9.704484,-0.470441,9.734967,92.769890,93.592712"
"0.8288468,-0.587700,9.746279,-0.529550,9.778332,93.104393,93.450752"
"0.8338109,-0.561967,9.715977,-0.509199,9.745526,92.995041,93.310272"
"0.8387734,-0.579809,9.711868,-0.478247,9.740909,92.814163,93.416565"
"0.8437374,-0.529866,9.785169,-0.495877,9.812042,92.896828,93.099533"
"0.8487000,-0.557983,9.732554,-0.516190,9.762193,93.031013,93.281265"
"0.8536640,-0.500053,9.769119,-0.568422,9.798410,93.325691,92.930244"
"0.8586265,-0.555608,9.753509,-0.491788,9.781692,92.881844,93.260330"
"0.8635890,-0.548636,9.744372,-0.544853,9.775002,93.195290,93.222511"
"0.8685531,-0.537048,9.787573,-0.529195,9.816570,93.090218,93.140694"
"0.8735156,-0.550283,9.766810,-0.445743,9.792450,92.608948,93.224762"
"0.8784797,-0.603751,9.710681,-0.467980,9.740680,92.753777,93.557724"
"0.8834422,-0.570768,9.752101,-0.484720,9.780807,92.840645,93.349571"
"0.8884062,-0.547496,9.730591,-0.520595,9.759875,93.057625,93.220383"
"0.8933687,-0.557054,9.743021,-0.486396,9.771047,92.853325,93.272308"
"0.8983312,-0.623996,9.733377,-0.474684,9.764903,92.786316,93.668152"
"0.9032953,-0.584817,9.762109,-0.466774,9.790744,92.732613,93.428314"
"0.9082578,-0.570596,9.765326,-0.511153,9.795328,92.991241,93.344032"
"0.9132218,-0.628363,9.745828,-0.419368,9.775064,92.458847,93.689041"
"0.9181843,-0.594174,9.743951,-0.513930,9.775569,93.013596,93.489502"
"0.9231484,-0.601577,9.732669,-0.434203,9.760905,92.549576,93.536957"
"0.9281109,-0.555474,9.720172,-0.449315,9.746393,92.642311,93.270699"
"0.9330734,-0.493512,9.691623,-0.509821,9.717563,93.007339,92.915070"
"0.9380594,-0.526696,9.735016,-0.499000,9.762015,92.930031,93.096863"
"0.9430000,-0.545572,9.720478,-0.488283,9.748013,92.871178,93.212410"
"0.9479625,-0.541549,9.744497,-0.417989,9.768481,92.452415,93.180931"
"0.9529266,-0.576524,9.789603,-0.487383,9.818668,92.845238,93.370338"
"0.9578906,-0.543034,9.797103,-0.412310,9.820800,92.406174,93.172546"
"0.9628531,-0.549900,9.721168,-0.415298,9.745561,92.442345,93.237617"
"0.9678156,-0.546692,9.784327,-0.455473,9.810167,92.661125,93.198036"
"0.9727797,-0.583161,9.739594,-0.462560,9.767994,92.714233,93.426506"
"0.9777422,-0.622856,9.740292,-0.510176,9.773511,92.992188,93.658875"
"0.9827062,-0.653674,9.750367,-0.460491,9.783097,92.697914,93.835426"
"0.9876687,-0.597899,9.734057,-0.494776,9.764946,92.904343,93.514885"
"0.9926328,-0.554066,9.765834,-0.493675,9.793989,92.889267,93.247208"
"0.9975953,-0.577453,9.736940,-0.486042,9.766150,92.852676,93.393974"
"1.0025593,-0.584798,9.716859,-0.455846,9.745108,92.681099,93.444130"
"1.0075219,-0.598215,9.757924,-0.553626,9.791907,93.241180,93.508163"
"1.0124860,-0.594183,9.738817,-0.617991,9.776478,93.624199,93.491394"
"1.0174469,-0.567569,9.743021,-0.504324,9.772560,92.958130,93.333939"
"1.0224124,-0.481991,9.754629,-0.511765,9.779928,92.999550,92.828773"
"1.0273734,-0.469771,9.792361,-0.467750,9.814775,92.731621,92.746559"
"1.0323374,-0.519609,9.767346,-0.476398,9.792752,92.788429,93.045181"
"1.0373000,-0.502189,9.742141,-0.567416,9.771564,93.328934,92.950874"
"1.0422640,-0.522080,9.761687,-0.562676,9.791819,93.294250,93.061409"
"1.0472265,-0.491779,9.748653,-0.542986,9.776140,93.183960,92.887886"
"1.0521907,-0.508911,9.786386,-0.543388,9.814662,93.173798,92.976814"
"1.0571531,-0.548741,9.786855,-0.453845,9.812727,92.650909,93.209167"
"1.0621171,-0.507226,9.784366,-0.516927,9.811131,93.020187,92.967583"
"1.0670797,-0.513930,9.758670,-0.501988,9.785078,92.940643,93.014633"
"1.0720438,-0.521476,9.767980,-0.549699,9.797323,93.216385,93.055908"
"1.0770062,-0.511382,9.805376,-0.589175,9.836364,93.433937,92.985458"
"1.0819702,-0.521333,9.761496,-0.588294,9.793094,93.443962,93.057091"
"1.0869312,-0.481742,9.780659,-0.618719,9.812042,93.615303,92.819801"
"1.0918952,-0.448721,9.793415,-0.480392,9.815453,92.805313,92.623383"
"1.0968578,-0.421217,9.764407,-0.455971,9.784119,92.671135,92.470093"
"1.1018234,-0.419186,9.769913,-0.547142,9.794196,93.202431,92.456818"
"1.1067843,-0.416514,9.759264,-0.612389,9.787326,93.587318,92.443840"
"1.1117485,-0.416457,9.795138,-0.585152,9.821434,93.415657,92.434563"
"1.1167109,-0.469618,9.756687,-0.504305,9.780993,92.955467,92.755684"
"1.1216750,-0.483619,9.767394,-0.488408,9.791548,92.859131,92.834610"
"1.1266375,-0.462138,9.790963,-0.502859,9.814754,92.936836,92.702385"
"1.1316015,-0.476676,9.781176,-0.461909,9.803671,92.700539,92.790047"
"1.1365640,-0.478141,9.788771,-0.457561,9.811117,92.673073,92.796440"
"1.1415280,-0.474885,9.734019,-0.545907,9.760874,93.206116,92.793022"
"1.1464906,-0.430669,9.759484,-0.602716,9.787558,93.530502,92.526726"
"1.1514547,-0.469206,9.758853,-0.667005,9.792868,93.905518,92.752663"
"1.1564156,-0.545543,9.750846,-0.523669,9.780125,93.069328,93.202263"
"1.1613797,-0.579809,9.791050,-0.456392,9.818815,92.664146,93.389000"
"1.1663421,-0.551107,9.755615,-0.542564,9.786221,93.178200,93.233276"
"1.1713063,-0.562752,9.725736,-0.467233,9.753201,92.745842,93.311569"
"1.1762688,-0.555838,9.710671,-0.487431,9.738772,92.868881,93.276031"
"1.1812327,-0.518709,9.730860,-0.495130,9.757246,92.908714,93.051292"
"1.1861953,-0.549642,9.757684,-0.569887,9.789753,93.337227,93.224014"
"1.1911594,-0.487402,9.794238,-0.526772,9.820497,93.074829,92.848923"
"1.1961218,-0.535679,9.791385,-0.453989,9.816530,92.650726,93.131485"
"1.2010844,-0.568336,9.678876,-0.489202,9.707882,92.888489,93.360504"
"1.2060484,-0.521754,9.749151,-0.546864,9.778406,93.205978,93.063431"
"1.2110109,-0.519657,9.826360,-0.540371,9.854917,93.143257,93.027206"
"1.2159750,-0.540410,9.730351,-0.507178,9.758535,92.979164,93.178856"
"1.2209389,-0.517942,9.719846,-0.518057,9.747413,93.046600,93.050240"
"1.2259001,-0.526868,9.768362,-0.407637,9.791050,92.386124,93.087326"
"1.2308639,-0.583668,9.747715,-0.542153,9.780211,93.177742,93.426636"
"1.2358265,-0.503491,9.723360,-0.456929,9.747103,92.686920,92.964218"
"1.2407906,-0.620922,9.725266,-0.423180,9.754252,92.486511,93.653160"
"1.2457530,-0.636063,9.772653,-0.527969,9.807551,93.085892,93.723900"
"1.2507172,-0.603080,9.780506,-0.512551,9.812478,92.994186,93.528473"
"1.2556797,-0.686015,9.712807,-0.573373,9.753871,93.370026,94.040092"
"1.2606437,-0.783143,9.625103,-0.460328,9.667875,92.729126,94.651604"
"1.2656063,-0.680193,9.572037,-0.361055,9.602963,92.154732,94.064629"
"1.2705686,-0.401010,9.623819,-0.438062,9.642127,92.603966,92.386047"
"1.2755312,-0.449727,9.751488,-0.728862,9.789025,94.270027,92.640541"
"1.2804953,-0.552160,9.786300,-0.734867,9.829372,94.287567,93.229309"
"1.2854577,-0.729762,9.778418,-0.417922,9.814513,92.440514,94.268066"
"1.2904218,-0.653607,9.742044,-0.247378,9.767078,91.451332,93.838303"
"1.2953843,-0.360030,9.678905,-0.349927,9.691918,92.069115,92.130272"
"1.3003484,-0.230849,9.704514,-0.631543,9.727781,93.722351,91.362686"
"1.3053110,-0.263065,9.748384,-0.710513,9.777782,94.167130,91.545784"
"1.3102750,-0.452638,9.841816,-0.540908,9.867057,93.142502,92.633255"
"1.3152375,-0.654000,9.809705,-0.394162,9.839379,92.295860,93.814194"
"1.3201998,-0.723001,9.719893,-0.329528,9.752315,91.936378,94.254036"
"1.3251640,-0.665224,9.676961,-0.420039,9.708889,92.479576,93.932503"
"1.3301265,-0.552831,9.682650,-0.496423,9.711115,92.930183,93.267754"
"1.3350906,-0.484931,9.769588,-0.604996,9.800307,93.539253,92.841644"
"1.3400531,-0.469608,9.825363,-0.571764,9.853183,93.326653,92.736397"
"1.3450156,-0.470872,9.801220,-0.506192,9.825572,92.953056,92.750504"
"1.3499796,-0.514504,9.768966,-0.516688,9.796141,93.023415,93.014824"
"1.3549422,-0.557140,9.734508,-0.491558,9.762820,92.886063,93.275665"
"1.3599063,-0.543196,9.689009,-0.540793,9.719280,93.189651,93.208824"
"1.3648686,-0.528525,9.745550,-0.508969,9.773133,92.985222,93.104248"
"1.3698328,-0.484673,9.752675,-0.467798,9.775909,92.742775,92.845055"
"1.3747952,-0.450694,9.770507,-0.518852,9.794649,93.036552,92.641068"
"1.3797593,-0.392065,9.786414,-0.557849,9.810139,93.259857,92.294167"
"1.3847219,-0.418430,9.761333,-0.510607,9.783631,92.991623,92.454544"
"1.3896843,-0.495705,9.761678,-0.415538,9.783085,92.434380,92.907021"
"1.3946484,-0.550484,9.772030,-0.402178,9.795782,92.353012,93.224213"
"1.3996109,-0.561105,9.761869,-0.469905,9.789268,92.751373,93.289703"
"1.4045750,-0.571984,9.733637,-0.489605,9.762712,92.874619,93.363045"
"1.4095376,-0.561421,9.749160,-0.538054,9.780124,93.153717,93.295830"
"1.4144999,-0.478266,9.751995,-0.630058,9.784023,93.692207,92.807701"
"1.4194640,-0.462043,9.758297,-0.586311,9.786807,93.434547,92.710854"
"1.4244266,-0.406641,9.740656,-0.545888,9.764412,93.204842,92.390526"
"1.4293905,-0.394382,9.737343,-0.549622,9.760813,93.227982,92.319328"
"1.4343531,-0.452753,9.810021,-0.580718,9.837619,93.384163,92.642448"
"1.4393156,-0.390475,9.840753,-0.562982,9.864574,93.271713,92.272270"
"1.4442797,-0.383551,9.746804,-0.513010,9.767829,93.010582,92.253510"
"1.4492422,-0.461152,9.747446,-0.566640,9.774786,93.323280,92.708649"
"1.4542047,-0.511430,9.734201,-0.569648,9.764258,93.344536,93.007530"
"1.4591687,-0.578659,9.776340,-0.509955,9.806718,92.980759,93.387375"
"1.4641311,-0.585995,9.773399,-0.441539,9.800902,92.582092,93.431244"
"1.4690952,-0.542057,9.711946,-0.356516,9.733592,92.099060,93.194557"
"1.4740593,-0.540027,9.759609,-0.303499,9.779248,91.778458,93.167107"
"1.4790218,-0.477873,9.741757,-0.457216,9.764182,92.683907,92.808342"
"1.4839844,-0.458097,9.802351,-0.463326,9.823981,92.703232,92.675682"
"1.4889485,-0.526542,9.785092,-0.490457,9.811515,92.865288,93.080154"
"1.4939109,-0.581801,9.728369,-0.505521,9.758853,92.969322,93.422470"
"1.4988750,-0.606921,9.744746,-0.364244,9.770420,92.136497,93.563881"
"1.5038373,-0.687280,9.638567,-0.390983,9.670946,92.317017,94.078583"
"1.5087999,-0.690804,9.695435,-0.535956,9.734778,93.156067,94.075462"
"1.5137640,-0.513872,9.763927,-0.557341,9.793313,93.262489,93.012680"
"1.5187265,-0.457791,9.749046,-0.593858,9.777840,93.482010,92.688492"
"1.5236890,-0.433312,9.732957,-0.673872,9.765875,93.956711,92.549133"
"1.5286531,-0.409811,9.747552,-0.618183,9.775728,93.625603,92.407433"
"1.5336156,-0.479022,9.782976,-0.548789,9.810059,93.206886,92.803246"
"1.5385782,-0.489068,9.753384,-0.507015,9.778790,92.972031,92.870605"
"1.5435421,-0.545016,9.789077,-0.460817,9.815061,92.691025,93.186707"
"1.5485061,-0.539854,9.757137,-0.545514,9.787275,93.195152,93.166901"
"1.5534687,-0.475872,9.750051,-0.556298,9.777494,93.261642,92.794220"
"1.5584311,-0.508509,9.798041,-0.545811,9.826399,93.184151,92.970932"
"1.5633953,-0.442832,9.767184,-0.566688,9.793627,93.317154,92.595940"
"1.5683577,-0.508643,9.788990,-0.571735,9.818855,93.338127,92.974457"
"1.5733218,-0.497956,9.755079,-0.525336,9.781898,93.078545,92.922173"
"1.5782844,-0.557236,9.736769,-0.467856,9.763916,92.746483,93.275467"
"1.5832468,-0.591981,9.719109,-0.497563,9.749825,92.925247,93.485519"
"1.5882109,-0.524665,9.743423,-0.453270,9.768062,92.659668,93.082298"
"1.5931734,-0.528017,9.781933,-0.491884,9.808515,92.874512,93.089760"
"1.5981374,-0.508423,9.762692,-0.519293,9.789705,93.040672,92.981163"
"1.6030999,-0.457771,9.798855,-0.546893,9.824775,93.191002,92.674728"
"1.6080639,-0.431205,9.787803,-0.482997,9.809195,92.822342,92.522552"
"1.6130265,-0.398692,9.783628,-0.498569,9.804433,92.914825,92.333565"
"1.6179891,-0.419656,9.793234,-0.501355,9.815034,92.927963,92.453712"
"1.6229531,-0.473506,9.807034,-0.424837,9.827645,92.477600,92.764221"
"1.6279156,-0.497601,9.770843,-0.458700,9.794252,92.684349,92.915390"
"1.6328797,-0.551145,9.754304,-0.472797,9.781296,92.770576,93.233932"
"1.6378422,-0.537230,9.750128,-0.487354,9.777071,92.857185,93.153793"
"1.6428047,-0.603253,9.723619,-0.499440,9.755108,92.934700,93.550079"
"1.6477686,-0.637011,9.682573,-0.528314,9.717876,93.116432,93.764030"
"1.6527312,-0.606576,9.678292,-0.578142,9.714501,93.411880,93.586258"
"1.6576953,-0.562206,9.781463,-0.541616,9.812565,93.164116,93.289558"
"1.6626577,-0.494652,9.750299,-0.608185,9.781764,93.564682,92.904236"
"1.6676219,-0.498185,9.791471,-0.588409,9.821777,93.434563,92.912674"
"1.6725843,-0.503951,9.780773,-0.557006,9.809574,93.255112,92.949539"
"1.6775484,-0.471868,9.767826,-0.594116,9.797247,93.476616,92.765717"
"1.6825110,-0.513738,9.809743,-0.541971,9.838125,93.157959,92.997856"
"1.6874734,-0.508873,9.753863,-0.548425,9.782514,93.213791,92.986496"
"1.6924374,-0.436176,9.803586,-0.483935,9.825210,92.823212,92.547493"
"1.6974000,-0.428830,9.756516,-0.502093,9.778834,92.943138,92.516716"
"1.7023624,-0.432402,9.765412,-0.577232,9.792009,93.379509,92.535339"
"1.7073265,-0.453002,9.834997,-0.472204,9.856742,92.745903,92.637192"
"1.7122890,-0.532614,9.800128,-0.517550,9.828227,93.018562,93.110832"
"1.7172531,-0.577089,9.763439,-0.497247,9.793111,92.910454,93.382652"
