Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.4317953,1.503530,9.590560,0.221942,9.710238,88.690300,81.090157
0.4367578,1.478400,9.677440,0.218648,9.792156,88.720543,81.314209
0.4417219,1.440534,9.707769,0.219079,9.816512,88.721199,81.559486
0.4466844,1.376426,9.520658,0.186872,9.621455,88.887108,81.773598
0.4516484,1.441032,9.636059,0.145989,9.744308,89.141563,81.494690
0.4566109,1.439787,9.612403,0.156456,9.720893,89.077797,81.481323
0.4615750,1.449249,9.609511,0.163208,9.719551,89.037857,81.423630
0.4665375,1.441913,9.656371,0.219577,9.765902,88.711647,81.507202
0.4715000,1.462474,9.645511,0.233214,9.758539,88.630585,81.378349
0.4764625,1.440141,9.622066,0.205643,9.731417,88.789146,81.487686
0.4814265,1.355482,9.570151,0.229154,9.668384,88.641884,81.938454
0.4863906,1.289440,9.640167,0.295895,9.730521,88.257431,82.381508
0.4913531,1.338550,9.596478,0.258995,9.692842,88.468857,82.059418
0.4963172,1.396049,9.585752,0.266379,9.690539,88.424820,81.713814
0.5012797,1.413048,9.585579,0.216034,9.691579,88.722725,81.614197
0.5062422,1.450858,9.598460,0.240215,9.710464,88.582489,81.404510
0.5112062,1.427912,9.630954,0.280945,9.740284,88.347153,81.566605
0.5161687,1.388350,9.635485,0.289708,9.739303,88.295410,81.800842
0.5211313,1.404161,9.629843,0.282908,9.735788,88.334831,81.703972
0.5260953,1.372778,9.542866,0.228704,9.643812,88.641098,81.813942
0.5310578,1.411995,9.606083,0.251631,9.712563,88.515427,81.637993
0.5360219,1.458050,9.608037,0.238099,9.720956,88.596497,81.371025
0.5409844,1.511555,9.598029,0.299582,9.720942,88.233971,81.050224
0.5459484,1.548665,9.661025,0.228512,9.787031,88.662109,80.892944
0.5509109,1.475269,9.669519,0.215660,9.783789,88.736954,81.325333
0.5558750,1.423851,9.639564,0.234134,9.746966,88.623558,81.597649
0.5608360,1.385122,9.596937,0.153947,9.697601,89.090408,81.787231
0.5658000,1.323812,9.617259,0.265000,9.711559,88.436371,82.162514
0.5707625,1.339498,9.565382,0.251085,9.661979,88.510895,82.028366
0.5757266,1.393186,9.567374,0.208774,9.670533,88.762962,81.714912
0.5806906,1.434404,9.621061,0.279844,9.731426,88.352135,81.520233
0.5856531,1.478918,9.596420,0.296948,9.714251,88.248291,81.238991
0.5906156,1.486876,9.619787,0.194447,9.735960,88.855606,81.213646
0.5955797,1.508318,9.701507,0.205978,9.820218,88.798141,81.162827
0.6005437,1.523555,9.665737,0.301133,9.789708,88.237297,81.042496
0.6055062,1.509611,9.602128,0.244314,9.723141,88.560173,81.065300
0.6104687,1.503434,9.583482,0.252272,9.703973,88.510323,81.084236
0.6154328,1.457236,9.566091,0.314081,9.681542,88.140930,81.338524
0.6203953,1.412330,9.507347,0.272508,9.615539,88.375999,81.550423
0.6253578,1.360060,9.563533,0.230399,9.662505,88.633675,81.906059
0.6303219,1.353873,9.573072,0.180207,9.670013,88.932198,81.950317
0.6352843,1.447898,9.482821,0.221263,9.595272,88.678665,81.318756
0.6402484,1.457820,9.476346,0.221282,9.590377,88.677879,81.254311
0.6452109,1.479866,9.506858,0.149044,9.622503,89.112503,81.152176
0.6501750,1.498885,9.544801,0.192331,9.663689,88.859596,81.075340
0.6551375,1.431024,9.623713,0.173627,9.731075,88.977638,81.542221
0.6600999,1.487901,9.647473,0.256113,9.764895,88.497078,81.232521
0.6650640,1.467148,9.635417,0.230361,9.749197,88.646049,81.342293
0.6700281,1.349410,9.636270,0.254590,9.733623,88.501221,82.028450
0.6749907,1.304773,9.722709,0.144447,9.810931,89.156403,82.356659
0.6799532,1.541224,9.600423,0.208631,9.725586,88.770813,80.879723
0.6849172,1.680730,9.402106,0.415902,9.560201,87.506653,79.864807
0.6898797,1.425929,9.507078,0.153152,9.614638,89.087296,81.470016
0.6948422,1.326158,9.606236,0.108409,9.697949,89.359497,82.139900
0.6998063,1.348309,9.714148,0.287592,9.811489,88.320320,82.097916
0.7047688,1.369359,9.811018,0.157098,9.907366,89.091438,82.054352
0.7097328,1.599470,9.771991,0.064988,9.902239,89.623962,80.704308
0.7146953,1.520826,9.791634,0.278781,9.912957,88.388466,81.171425
0.7196594,1.269540,9.965471,0.140568,10.046995,89.198341,82.739975
0.7246219,1.305127,9.851882,0.264760,9.941481,88.473923,82.453690
0.7295843,1.128809,9.916621,0.722896,10.006805,85.857323,83.505974
0.7345484,1.456776,9.575360,0.046744,9.685655,89.723480,81.349472
0.7395109,1.612390,9.345078,0.201573,9.485300,88.782310,80.210632
0.7444750,1.372711,9.483327,0.412894,9.591053,87.532654,81.763649
0.7494375,1.314321,9.435577,0.140635,9.527714,89.154243,82.070061
0.7544015,1.393607,9.627708,0.120246,9.728790,89.291817,81.763664
0.7593640,1.553052,9.650749,0.116942,9.775613,89.314575,80.858025
0.7643266,1.473985,9.637121,0.270344,9.752939,88.411606,81.304077
0.7692906,1.437584,9.609454,0.147100,9.717505,89.132645,81.491592
0.7742531,1.406335,9.569308,0.242695,9.675140,88.562614,81.639481
0.7792172,1.405080,9.528224,0.172794,9.632817,88.972168,81.611328
0.7841797,1.518652,9.547349,0.180274,9.669058,88.931694,80.961952
0.7891437,1.560148,9.551629,0.163850,9.679593,89.030090,80.723320
0.7941062,1.504593,9.635407,0.191460,9.754052,88.875282,81.124794
0.7990687,1.528573,9.623532,0.212538,9.746490,88.750473,80.974709
0.8040328,1.461105,9.573264,0.206821,9.686330,88.776535,81.322289
0.8089953,1.487939,9.565516,0.162384,9.681911,89.038994,81.158363
0.8139594,1.492612,9.541784,0.275448,9.661750,88.366325,81.109329
0.8189218,1.467751,9.617556,0.270602,9.732672,88.406769,81.322945
0.8238859,1.495543,9.631012,0.187265,9.748236,88.899277,81.173370
0.8288484,1.486732,9.665182,0.171185,9.780359,88.997101,81.255104
0.8338109,1.417080,9.628053,0.194285,9.733718,88.856300,81.627182
0.8387750,1.322394,9.576127,0.286825,9.671257,88.300499,82.137589
0.8437374,1.357608,9.588787,0.183176,9.686150,88.916412,81.941460
0.8487015,1.466257,9.606591,0.114874,9.718524,89.322746,81.321899
0.8536640,1.547679,9.622517,0.186968,9.747979,88.900986,80.862839
0.8586281,1.529138,9.586786,0.235139,9.710820,88.612495,80.937393
0.8635907,1.524407,9.601754,0.333742,9.727737,88.033890,80.978821
0.8685531,1.345369,9.632630,0.350731,9.732450,87.934769,82.049057
0.8735172,1.174078,9.615067,0.324807,9.691927,88.079475,83.038185
0.8784797,1.262329,9.624452,0.221703,9.709413,88.691605,82.527824
0.8834438,1.380822,9.632036,0.169960,9.731993,88.999336,81.841820
0.8884062,1.480105,9.619779,0.197340,9.734978,88.838463,81.253029
0.8933703,1.513566,9.484831,0.193107,9.606778,88.848213,80.933327
0.8983328,1.500360,9.572507,0.124163,9.690170,89.265831,81.092140
0.9032953,1.561585,9.542732,0.232870,9.672462,88.620438,80.706421
0.9082594,1.662811,9.616818,0.212279,9.761824,88.753952,80.190178
0.9132218,1.597038,9.778169,0.168772,9.909167,89.024094,80.723961
0.9181859,1.416496,9.661504,0.289622,9.769084,88.301117,81.659157
0.9231484,1.242131,9.658517,0.185254,9.739823,88.910156,82.671715
0.9281125,1.224414,9.624729,0.268342,9.706009,88.415741,82.750038
0.9330750,1.333752,9.544724,0.161408,9.638813,89.040504,82.045166
0.9380375,1.418900,9.615276,0.106264,9.719985,89.373596,81.605606
0.9430015,1.431455,9.581787,0.200021,9.690187,88.817238,81.503235
0.9479640,1.510942,9.541909,0.197407,9.662812,88.829391,81.002037
0.9529281,1.536388,9.653574,0.203680,9.777191,88.806320,80.957092
0.9578906,1.493283,9.658306,0.190310,9.774917,88.884422,81.211021
0.9628546,1.437488,9.631261,0.266532,9.741591,88.432182,81.511131
0.9678172,1.344794,9.535397,0.353997,9.636264,87.894714,81.972412
0.9727797,1.338091,9.495040,0.273408,9.592759,88.366760,81.978401
0.9777422,1.315681,9.585828,0.195712,9.677676,88.841232,82.184830
0.9827062,1.307569,9.634373,0.219874,9.725185,88.704506,82.271088
0.9876687,1.379721,9.605221,0.305232,9.708609,88.198364,81.825790
0.9926328,1.427854,9.659704,0.283627,9.768782,88.336243,81.591682
0.9975953,1.430880,9.653546,0.213285,9.761346,88.747993,81.568817
1.0025593,1.409409,9.651946,0.206237,9.756487,88.788765,81.692200
1.0075219,1.394201,9.606447,0.290302,9.711432,88.287018,81.742218
1.0124860,1.412378,9.514280,0.201726,9.620657,88.798538,81.556206
1.0174484,1.396145,9.598517,0.217326,9.701958,88.716454,81.724121
1.0224109,1.364120,9.639400,0.264703,9.739042,88.442535,81.945267
1.0273734,1.367721,9.616197,0.176960,9.714588,88.956245,81.905060
1.0323374,1.405291,9.621445,0.213161,9.725866,88.744156,81.690239
1.0373015,1.403768,9.625869,0.182955,9.729408,88.922523,81.702881
1.0422640,1.424071,9.650050,0.185139,9.756317,88.912674,81.605370
1.0472281,1.418948,9.680161,0.204695,9.785746,88.801422,81.660797
1.0521907,1.369809,9.654686,0.212902,9.753699,88.749260,81.924759
1.0571531,1.348434,9.570343,0.204407,9.667033,88.788406,81.979980
1.0621452,1.377758,9.640014,0.170620,9.739466,88.996216,81.866325
1.0670797,1.350770,9.634833,0.237189,9.731950,88.603439,82.019348
1.0720438,1.361084,9.615478,0.196181,9.713313,88.842712,81.943230
1.0770062,1.312712,9.607118,0.177008,9.698003,88.954178,82.219315
1.0819688,1.388474,9.624222,0.287477,9.728111,88.306602,81.790657
1.0869328,1.323342,9.615210,0.210288,9.708126,88.758820,82.163605
1.0918952,1.348366,9.592455,0.223427,9.689335,88.678696,81.998627
1.0968593,1.377815,9.622852,0.232352,9.723767,88.630768,81.851685
1.1018218,1.382584,9.624778,0.176568,9.725177,88.959694,81.825470
1.1067859,1.440495,9.646660,0.179479,9.755269,88.945801,81.507019
1.1117485,1.410453,9.640301,0.151725,9.744116,89.107811,81.676231
1.1167109,1.435879,9.668601,0.175380,9.776215,88.972092,81.552773
1.1216750,1.450149,9.655146,0.214386,9.765794,88.742096,81.458344
1.1266375,1.490075,9.597598,0.169260,9.714055,89.001610,81.175003
1.1316000,1.433610,9.631616,0.187274,9.739524,88.898232,81.534012
1.1365640,1.388177,9.628598,0.230657,9.730886,88.641754,81.796066
1.1415280,1.412799,9.618198,0.220372,9.723904,88.701401,81.643684
1.1464906,1.417071,9.664502,0.243222,9.770867,88.573616,81.658371
1.1514531,1.388254,9.620084,0.149015,9.720878,89.121658,81.788452
1.1564171,1.402112,9.590808,0.192350,9.694664,88.863129,81.682663
1.1613797,1.399871,9.662376,0.194859,9.765200,88.856621,81.756432
1.1663438,1.407973,9.642973,0.129172,9.746077,89.240593,81.692932
1.1713063,1.395312,9.658028,0.207740,9.760510,88.780441,81.779259
1.1762702,1.432748,9.614491,0.204158,9.722802,88.796822,81.524178
1.1812327,1.380344,9.605766,0.185694,9.706213,88.903778,81.822609
1.1861953,1.384883,9.661388,0.123531,9.760921,89.274864,81.842674
1.1911577,1.394105,9.603373,0.190866,9.705912,88.873215,81.740166
1.1961218,1.355089,9.610144,0.151381,9.706392,89.106384,81.973854
1.2010859,1.376848,9.609147,0.111905,9.707932,89.339523,81.845871
1.2060484,1.413077,9.633282,0.189266,9.738210,88.886360,81.654968
1.2110109,1.412598,9.633683,0.127132,9.737528,89.251930,81.658096
1.2159750,1.449086,9.631241,0.166838,9.741073,89.018631,81.443642
1.2209375,1.459026,9.609760,0.159406,9.721197,89.060432,81.366852
1.2259015,1.440696,9.611551,0.150298,9.720088,89.114021,81.475273
1.2308639,1.440045,9.586795,0.225352,9.696966,88.668358,81.457390
1.2358280,1.444795,9.639994,0.245731,9.750759,88.555923,81.476234
1.2407906,1.368880,9.636969,0.234163,9.736521,88.621910,81.915520
1.2457530,1.393780,9.613821,0.200653,9.716400,88.816704,81.750923
