Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,1.211366,9.327223,2.371287,9.699871,75.849731,82.600174
0.0025143,1.261616,9.379865,2.315953,9.743571,76.249733,82.339546
0.0050285,1.244866,9.444471,2.253740,9.789130,76.689453,82.491188
0.0075428,1.280758,9.487542,2.222633,9.828219,76.929604,82.311905
0.0100570,1.326222,9.540483,2.215455,9.883719,77.046989,82.086029
0.0125688,1.326222,9.636196,2.191526,9.970854,77.303108,82.163658
0.0150830,1.342972,9.688838,2.201098,10.026066,77.318130,82.108505
0.0175972,1.354936,9.746265,2.234597,10.090539,77.205513,82.085411
0.0201114,1.357329,9.780065,2.270490,10.131492,77.049911,82.098663
0.0226256,1.405484,9.827921,2.277668,10.185833,77.078766,81.861351
0.0251397,1.427020,9.861421,2.280061,10.221677,77.111099,81.766037
0.0276540,1.402792,9.844670,2.296811,10.205914,76.994354,81.890373
0.0301681,1.402792,9.875777,2.306382,10.238076,76.980957,81.915573
0.0326819,1.366900,9.904491,2.315953,10.263089,76.958397,82.142357
0.0351960,1.371686,9.894919,2.349453,10.262109,76.765068,82.107658
0.0377102,1.352543,9.902099,2.347060,10.265944,76.783821,82.222015
0.0402244,1.335793,9.897313,2.407180,10.273055,76.448471,82.313507
0.0427386,1.299901,9.873384,2.423929,10.249336,76.320160,82.499741
0.0452528,1.280758,9.882956,2.450250,10.262402,76.186638,82.616043
0.0477669,1.268794,9.854242,2.457429,10.234983,76.107506,82.663185
0.0502811,1.237687,9.830314,2.507678,10.220342,75.796806,82.823921
0.0527511,1.237687,9.801600,2.517249,10.195085,75.705376,82.803123
0.0552141,1.244866,9.780065,2.567499,10.187807,75.403114,82.746056
0.0577259,1.244866,9.703195,2.565106,10.113429,75.307365,82.689209
0.0602377,1.208974,9.722338,2.577070,10.130486,75.262703,82.911652
0.0627495,1.175474,9.719945,2.605784,10.131593,75.096375,83.104462
0.0652614,1.216152,9.657731,2.574677,10.068751,75.184357,82.822792
0.0677732,1.237687,9.688838,2.615355,10.111653,75.010170,82.720253
0.0702851,1.283151,9.811171,2.699403,10.256330,74.740341,82.548882
0.0728296,1.244866,9.643374,2.694618,10.089862,74.510490,82.644348
0.0753422,1.216152,9.367901,2.723331,9.831232,73.918282,82.603165
0.0778549,1.223331,9.121140,2.728117,9.598664,73.487869,82.361053
0.0803676,1.151546,8.999106,2.718546,9.471033,73.319298,82.707932
0.0828802,1.134497,8.879167,2.685046,9.345382,73.302864,82.718735
0.0853929,1.081855,8.804989,2.685046,9.268641,73.160515,82.995270
0.0879055,1.031606,8.759525,2.723331,9.230927,72.841118,83.283241
0.0904182,1.012463,8.728418,2.663511,9.181757,73.136818,83.383476
0.0929386,0.988535,8.747561,2.646761,9.192517,73.266197,83.552536
0.0954515,0.976571,8.773883,2.658725,9.219735,73.239410,83.648872
0.0979643,0.962214,8.809774,2.632404,9.244865,73.456558,83.766792
0.1004771,0.943071,8.922237,2.579463,9.335381,73.959877,83.966301
0.1029900,0.950250,8.975179,2.565106,9.382781,74.134239,83.956306
0.1055029,0.986142,9.075677,2.591427,9.489778,74.152634,83.798698
0.1080157,1.041177,9.113962,2.572284,9.527067,74.335884,83.482796
0.1105285,1.024427,9.145069,2.541178,9.546692,74.562675,83.608391
0.1130575,1.045963,9.207282,2.505285,9.599195,74.871239,83.518890
0.1155708,1.050748,9.284152,2.531606,9.680320,74.839668,83.542938
0.1180840,1.091426,9.355937,2.507678,9.747472,75.092194,83.346176
0.1205973,1.108176,9.413364,2.517249,9.806937,75.126816,83.285835
0.1231105,1.124926,9.430114,2.517249,9.824920,75.154663,83.197289
0.1256237,1.151546,9.480363,2.512464,9.875010,75.260399,83.074409
0.1281687,1.199402,9.518948,2.522035,9.920161,75.271843,82.818489
0.1306820,1.194617,9.547662,2.548356,9.953847,75.166130,82.868134
0.1331984,1.237687,9.550055,2.519642,9.954095,75.337418,82.615623
0.1357116,1.247259,9.547662,2.541178,9.958467,75.215889,82.557312
0.1382073,1.252044,9.552447,2.562713,9.969171,75.104088,82.532776
0.1407201,1.309472,9.516555,2.584249,9.947757,74.942871,82.165337
0.1432333,1.304687,9.514162,2.567499,9.940500,75.031578,82.191673
0.1457466,1.340579,9.514162,2.591427,9.951478,74.905830,81.979622
0.1482598,1.340579,9.526126,2.600998,9.965411,74.870438,81.989563
0.1507731,1.369293,9.499506,2.656332,9.958498,74.529617,81.797676
0.1532864,1.419841,9.545269,2.634797,10.003512,74.728859,81.539398
0.1557996,1.402792,9.523733,2.603391,9.972310,74.866913,81.620903
0.1583128,1.393221,9.487542,2.603391,9.936406,74.810921,81.645973
0.1608261,1.424627,9.473185,2.591427,9.924026,74.863083,81.447647
0.1633264,1.422234,9.458828,2.625226,9.918870,74.652664,81.449036
0.1658393,1.415056,9.473185,2.591427,9.922656,74.860939,81.504265
0.1683522,1.436591,9.410972,2.560320,9.858267,74.946968,81.320763
0.1708651,1.427020,9.439685,2.589034,9.891770,74.826897,81.403549
0.1733781,1.429412,9.480363,2.586641,9.930318,74.901505,81.425751
0.1758910,1.390828,9.511769,2.586641,9.954842,74.939583,81.681061
0.1784039,1.402792,9.485149,2.550749,9.921804,75.102821,81.587303
0.1809169,1.395614,9.485149,2.581856,9.928835,74.927795,81.629745
0.1834475,1.333400,9.487542,2.586641,9.923816,74.891373,81.999924
0.1859608,1.338186,9.475577,2.615355,9.920554,74.714439,81.961578
0.1884742,1.311865,9.458828,2.589034,9.894115,74.830574,82.103897
0.1909876,1.331008,9.482756,2.584249,9.918295,74.897079,82.010117
0.1935010,1.256830,9.451650,2.596213,9.881985,74.768379,82.425545
0.1960143,1.247259,9.444471,2.598605,9.874535,74.742210,82.476921
0.1985277,1.271187,9.475577,2.617748,9.912371,74.687172,82.359161
0.2010411,1.280758,9.420543,2.637190,9.866192,74.496597,82.257889
0.2035582,1.283151,9.427721,2.646761,9.875917,74.454620,82.249435
0.2060717,1.240080,9.410972,2.661118,9.858283,74.339470,82.493401
0.2085851,1.252044,9.389436,2.663511,9.839889,74.294968,82.404640
0.2110986,1.240080,9.396614,2.637190,9.838137,74.451271,82.482063
0.2136121,1.218545,9.391829,2.663511,9.837967,74.291817,82.607445
0.2161256,1.249652,9.406186,2.716153,9.869926,74.026375,82.432327
0.2186390,1.232902,9.396614,2.656332,9.842383,74.342453,82.525093
0.2211525,1.216152,9.396614,2.682653,9.847437,74.191589,82.625519
0.2236519,1.206581,9.418150,2.711367,9.874660,74.063118,82.699471
0.2261651,1.211366,9.382257,2.730510,9.846312,73.900101,82.643097
0.2286782,1.216152,9.351151,2.718546,9.813946,73.918259,82.590057
0.2311913,1.240080,9.343972,2.668296,9.796296,74.194176,82.440201
0.2337044,1.244866,9.384650,2.701796,9.844849,74.071503,82.443878
0.2362175,1.197010,9.341579,2.661118,9.786699,74.221947,82.698036
0.2387306,1.228116,9.322437,2.656332,9.770988,74.225075,82.495201
0.2412437,1.247259,9.367901,2.720938,9.834466,73.938217,82.416145
0.2437726,1.256830,9.348758,2.706582,9.813484,73.990166,82.343170
0.2462861,1.249652,9.324830,2.670689,9.779911,74.152428,82.367081
0.2487996,1.266401,9.329616,2.701796,9.795162,73.988541,82.269920
0.2513131,1.278365,9.336794,2.687439,9.799605,74.083298,82.203712
0.2538266,1.319044,9.384650,2.665904,9.844724,74.288414,81.999298
0.2563401,1.295115,9.351151,2.632404,9.800555,74.419174,82.114815
0.2588536,1.292722,9.367901,2.663511,9.824612,74.269913,82.143097
0.2613671,1.304687,9.355937,2.649154,9.810901,74.334457,82.061295
0.2639121,1.297508,9.367901,2.646761,9.820715,74.365013,82.114372
0.2664363,1.268794,9.322437,2.591427,9.758748,74.600418,82.249603
0.2689508,1.295115,9.367901,2.617748,9.812619,74.527634,82.128738
0.2714654,1.292722,9.382257,2.591427,9.819032,74.697281,82.154968
0.2739799,1.292722,9.379865,2.591427,9.816746,74.693634,82.152992
0.2764944,1.287937,9.387043,2.627618,9.832585,74.500153,82.187584
0.2790090,1.299901,9.420543,2.598605,9.858454,74.716721,82.143608
0.2815236,1.316651,9.406186,2.591427,9.845070,74.738747,82.031677
0.2840051,1.280758,9.408579,2.605784,9.846411,74.654259,82.248161
0.2865188,1.292722,9.420543,2.591427,9.855620,74.755478,82.186455
0.2890325,1.278365,9.406186,2.593820,9.840653,74.717285,82.260529
0.2915462,1.292722,9.415757,2.622833,9.859354,74.572144,82.182533
0.2940600,1.297508,9.410972,2.593820,9.847732,74.728539,82.150017
0.2965737,1.283151,9.406186,2.615355,9.846973,74.597397,82.231911
0.2990874,1.275973,9.442079,2.598605,9.875916,74.744400,82.303848
0.3016011,1.292722,9.427721,2.610569,9.867529,74.659096,82.192329
0.3041012,1.254437,9.439685,2.615355,9.875290,74.642654,82.430328
0.3066145,1.268794,9.451650,2.644368,9.896272,74.501778,82.354294
0.3091279,1.259223,9.439685,2.663511,9.888761,74.374573,82.401787
0.3116413,1.280758,9.461221,2.685046,9.917889,74.292435,82.290779
0.3141547,1.266401,9.408579,2.646761,9.855479,74.421562,82.334023
0.3166680,1.280758,9.432507,2.641975,9.878895,74.488228,82.267593
0.3191814,1.275973,9.451650,2.653939,9.899756,74.449875,82.311554
0.3216948,1.287937,9.456435,2.634797,9.900763,74.566452,82.244217
0.3242445,1.287937,9.425328,2.620141,9.867154,74.600853,82.218933
0.3267588,1.302294,9.418150,2.637190,9.866726,74.497459,82.127350
0.3292731,1.290330,9.418150,2.646761,9.867717,74.441376,82.198784
0.3317873,1.287937,9.444471,2.639582,9.890613,74.521454,82.234512
0.3343016,1.299901,9.432507,2.644368,9.882034,74.478882,82.153450
0.3368159,1.285544,9.403793,2.641975,9.852106,74.444984,82.215645
0.3393302,1.285544,9.382257,2.639582,9.830909,74.425072,82.197998
0.3418445,1.256830,9.403793,2.641975,9.848400,74.438988,82.387451
0.3443527,1.230509,9.348758,2.622833,9.787373,74.455826,82.501678
0.3468667,1.254437,9.372686,2.622833,9.813262,74.497864,82.376854
0.3493809,1.261616,9.387043,2.653939,9.836242,74.346901,82.345337
0.3518950,1.266401,9.363115,2.625226,9.806299,74.472069,82.297241
0.3544091,1.259223,9.341579,2.644368,9.789966,74.329185,82.322937
0.3569233,1.280758,9.351151,2.600998,9.790278,74.593140,82.201141
0.3594374,1.264009,9.336794,2.634797,9.783435,74.376663,82.290215
0.3619515,1.237687,9.320045,2.634797,9.764079,74.344902,82.435471
0.3644685,1.244866,9.351151,2.596213,9.784376,74.612686,82.417122
0.3669827,1.299901,9.375079,2.615355,9.819468,74.553177,82.105988
0.3694970,1.266401,9.336794,2.646761,9.786973,74.309723,82.275787
0.3720111,1.242473,9.360723,2.632404,9.802877,74.422958,82.439178
0.3745254,1.280758,9.348758,2.663511,9.804790,74.237282,82.199173
0.3770396,1.268794,9.365508,2.622833,9.808253,74.489746,82.284813
0.3795537,1.278365,9.382257,2.644368,9.831259,74.396683,82.241028
0.3820679,1.256830,9.360723,2.639582,9.806638,74.385544,82.352837
0.3845825,1.273580,9.391829,2.625226,9.834646,74.517952,82.277504
0.3870967,1.254437,9.391829,2.627618,9.832825,74.500542,82.392212
0.3896109,1.228116,9.394221,2.612962,9.827881,74.581200,82.551903
0.3921251,1.211366,9.425328,2.584249,9.847972,74.786636,82.676353
0.3946393,1.218545,9.387043,2.625226,9.823097,74.499290,82.603714
0.3971535,1.235295,9.379865,2.632404,9.820253,74.451218,82.497528
0.3996677,1.225723,9.391829,2.603391,9.822753,74.630859,82.564377
0.4021819,1.228116,9.410972,2.644368,9.852276,74.430817,82.565010
0.4046941,1.244866,9.360723,2.639582,9.805111,74.383049,82.424782
0.4072082,1.223331,9.379865,2.637190,9.820039,74.421890,82.569374
0.4097224,1.235295,9.382257,2.620141,9.819259,74.523872,82.499420
0.4122366,1.211366,9.408579,2.634797,9.845350,74.477402,82.663460
0.4147507,1.232902,9.391829,2.591427,9.820488,74.699608,82.521324
0.4172648,1.192224,9.413364,2.596213,9.837334,74.697556,82.781792
0.4197791,1.194617,9.387043,2.615355,9.817523,74.550041,82.747391
0.4222932,1.220938,9.401401,2.622833,9.836476,74.535362,82.600548
0.4247837,1.194617,9.341579,2.608177,9.772144,74.520172,82.712479
0.4272972,1.187438,9.370294,2.600998,9.796816,74.603676,82.777763
0.4298108,1.189831,9.399008,2.634797,9.833575,74.458344,82.785240
0.4323244,1.228116,9.394221,2.620141,9.829791,74.540863,82.551903
0.4348380,1.208974,9.387043,2.639582,9.825762,74.416710,82.661179
0.4373515,1.192224,9.401401,2.612962,9.830325,74.585129,82.772705
0.4398651,1.182653,9.384650,2.605784,9.811240,74.597885,82.817451
