"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.1828574,-2.873182,9.196216,-0.444467,9.644849,92.641319,107.350418"
"0.1852024,-2.854039,9.215358,-0.482752,9.659266,92.864731,107.207993"
"0.1875465,-2.844468,9.234501,-0.497109,9.675439,92.945061,107.120201"
"0.1898912,-2.834897,9.253643,-0.473181,9.689708,92.799057,107.032692"
"0.1922357,-2.801397,9.229715,-0.454038,9.656170,92.695068,106.884056"
"0.1945798,-2.763112,9.239286,-0.468395,9.654978,92.780701,106.649879"
"0.1969238,-2.782254,9.196216,-0.511466,9.621482,93.047211,106.832848"
"0.1992681,-2.729612,9.215358,-0.549751,9.626828,93.273720,106.499420"
"0.2016124,-2.739184,9.224930,-0.573679,9.640101,93.411667,106.537880"
"0.2039565,-2.729612,9.253643,-0.583251,9.665447,93.459549,106.434853"
"0.2063006,-2.758326,9.263215,-0.626321,9.685442,93.707687,106.582062"
"0.2086452,-2.834897,9.253643,-0.626321,9.698393,93.702736,107.032692"
"0.2109897,-2.877967,9.277572,-0.635893,9.734495,93.745438,107.234253"
"0.2133339,-2.930609,9.272786,-0.607179,9.743803,93.572662,107.538834"
"0.2156778,-3.026322,9.291928,-0.631107,9.792694,93.695084,108.040100"
"0.2180223,-3.102893,9.330214,-0.645464,9.853805,93.755791,108.395264"
"0.2203668,-3.169892,9.354142,-0.645464,9.897717,93.739105,108.720276"
"0.2227110,-3.241677,9.483355,-0.659821,10.043797,93.766724,108.871864"
"0.2250557,-3.155535,10.004990,-0.750748,10.517644,94.093246,107.505074"
"0.2274005,-3.260819,10.115060,-0.832104,10.660196,94.476898,107.867905"
"0.2297446,-3.442674,9.622138,-0.741177,10.246311,94.148170,109.686539"
"0.2320889,-3.524029,9.090932,-0.784248,9.781558,94.598694,111.188438"
"0.2344333,-3.490530,8.746365,-0.865604,9.456847,95.251747,111.756126"
"0.2367780,-3.418745,8.732008,-0.894317,9.419957,95.447784,111.381279"
"0.2391225,-3.380460,8.784650,-0.894317,9.455019,95.427521,111.047447"
"0.2414668,-3.351746,8.770293,-0.884746,9.430537,95.383247,110.915375"
"0.2438111,-3.394817,8.703294,-0.808176,9.376846,94.944366,111.308823"
"0.2461549,-3.413960,8.645866,-0.779462,9.328113,94.793251,111.547386"
"0.2484989,-3.428317,8.674581,-0.750748,9.357635,94.601692,111.564629"
