10.4998245,-2.969,11.799,-1.495,97.005119,104.124191
10.5097694,-3.146,11.766,-1.473,96.896011,104.969597
10.5197668,-3.169,11.748,-1.288,96.042381,105.096115
10.5298014,-3.127,11.761,-1.153,95.412292,104.889259
10.5397739,-2.872,11.694,-1.208,95.728722,103.798515
10.5498934,-2.496,11.467,-1.219,95.930206,102.279915
10.5597687,-2.295,11.059,-1.489,97.510147,101.723801
10.569768,-2.634,10.7,-1.886,99.712189,103.82943
10.5797758,-3.067,10.433,-2.009,100.467079,106.381813
10.5897799,-3.248,10.264,-2.363,102.379784,107.559761
10.5997677,-3.018,10.039,-2.128,101.475029,106.732224
10.6097841,-2.396,9.718,-2.068,101.673836,103.850197
10.6197681,-2.157,8.997,-1.807,101.051323,103.482002
10.6297789,-2.001,8.871,-1.569,99.789078,102.711273
10.6397781,-1.809,8.973,-1.238,97.702415,101.398315
10.6497707,-1.48,9.192,-0.986,96.045273,99.146667
10.6597662,-1.152,9.348,-0.808,94.903206,97.025421
10.6697931,-1.097,9.253,-0.662,94.06385,96.761208
10.6797819,-1.261,9.089,-0.51,93.18119,97.898743
10.6897621,-1.322,8.893,-0.389,92.477463,98.455452
10.69977,-1.168,8.748,-0.386,92.504311,97.604942
10.7098713,-1.06,8.7,-0.249,91.627373,96.946625
10.719758,-0.94,8.78,-0.102,90.661812,96.110893
10.729764,-0.899,8.78,-0.17,91.103462,95.846245
10.7397652,-0.976,8.797,-0.265,91.714935,96.330894
10.7567968,-1.687,8.891,-0.612,93.868851,100.743721
10.7597704,-1.687,8.891,-0.612,93.868851,100.743721
10.7697601,-1.736,8.917,-0.668,94.205536,101.016785
10.7798061,-1.763,8.975,-0.748,94.675232,101.113373
10.79004,-1.747,8.871,-1.078,96.799248,101.140907
10.7997646,1.528,9.448,-3.625,110.744568,80.813248
10.8097725,15.836,15.545,7.205,72.012115,44.468704
10.8197784,15.854,19.691999,8.898,70.609703,51.16251
10.8297834,4.421,19.691999,3.777,79.399979,77.346481
10.8397684,-0.531,13.897,-1.869,97.654198,92.188187
10.8497772,-3.452,10.959,-10.665,132.867874,107.484024
10.8597784,-7.134,9.284,-6.418,118.729507,127.539352
10.8698025,-7.543,10.092,-2.935,103.113045,126.775314
10.8797817,-2.76,10.722,-1.916,99.818161,104.435379
10.8903437,0.318,10.027,-1.837,100.376656,88.18351
10.8997622,1.227,8.746,-4.163,115.237915,82.013939
10.9105539,0.476,8.382,-3.54,112.862923,86.749756
10.9197731,-1.683,8.896,-1.268,97.972511,100.712952
10.9302082,-5.055,9.411,-0.452,92.422821,118.241905
10.9397688,-5.055,9.411,-0.452,92.422821,118.241905
10.94977,-1.525,10.288,0.673,86.297607,98.43161
10.9598017,2.972,11.102,0.625,86.887245,75.013351
10.9697781,4.621,11.153,-0.509,92.414291,67.494408
10.9797983,2.473,10.161,-1.704,99.254639,76.321213
10.9897861,-1.074,8.967,-2.607,106.101814,96.829926
10.9997759,-2.954,8.266,-3.501,111.744041,109.665237
11.0097885,-2.243,8.315,-2.746,107.684853,105.096413
11.0197668,1.433,10.153,-1.747,99.669136,81.966309
11.0301132,1.433,10.153,-1.747,99.669136,81.966309
11.039772,1.116,10.352,-1.703,99.289131,83.846977
11.0497904,0.153,10.036,-1.748,99.879135,89.126587
11.059783,-0.556,9.59,-1.727,100.191849,93.318123
11.0698071,-0.235,9.377,-1.938,101.673683,91.435608
11.0797815,-0.294,9.364,-2.056,102.377693,91.798317
11.0897675,-0.487,9.445,-2.042,102.18383,92.951653
11.0998087,-0.559,9.504,-1.958,101.621582,93.366104
11.1097984,-0.228,9.581,-1.963,101.575592,91.363213
11.1197758,-0.016,9.647,-1.913,101.216225,90.095024
11.1297865,0.006,9.67,-1.976,101.549011,89.964447
11.1397676,-0.086,9.569,-2.176,102.810753,90.514923
11.1497755,-0.168,9.441,-2.052,102.26062,91.019455
11.1616096,0.033,9.475,-2.286,103.564247,89.800446
11.1697683,0.233,9.536,-2.324,103.692513,88.600327
11.1797743,0.143,9.511,-2.329,103.758011,89.138611
11.189784,0.009,9.541,-2.422,104.243759,89.945953
11.1998034,-0.025,9.653,-2.469,104.347214,90.148392
11.2097855,0.118,9.697,-2.332,103.521133,89.302818
11.2211599,0.367,9.641,-2.481,104.42128,87.82
11.2297916,0.529,9.607,-2.32,103.556679,86.848244
11.2397661,0.537,9.545,-2.375,103.951469,86.779945
11.2497597,0.211,9.563,-2.466,104.456413,88.736023
11.2598057,-0.258,9.665,-2.339,103.599762,91.529106
11.2702026,-0.393,9.646,-2.516,104.607338,92.333069
11.2797623,-0.398,9.57,-2.361,103.847099,92.381462
11.289793,-0.347,9.545,-2.336,103.743263,92.082024
11.2997789,-0.326,9.569,-2.312,103.575531,91.951218
11.3097649,-0.247,9.577,-2.235,103.131889,91.477386
11.3197699,-0.1,9.609,-2.474,104.437439,90.596252
11.3297701,-0.233,9.632,-2.461,104.32856,91.385727
11.3397722,-0.646,9.612,-2.462,104.335762,93.844933
11.3497648,-0.861,9.546,-2.405,104.085815,95.153839
11.3598986,-0.779,9.453,-2.483,104.669731,94.710968
11.3766346,-1.118,9.418,-2.218,103.16288,96.769836
11.3797579,-1.118,9.418,-2.218,103.16288,96.769836
11.3897791,-1.026,9.399,-2.374,104.094925,96.229774
11.4020376,-0.922,9.514,-2.519,104.763664,95.53524
11.4097662,-0.658,9.539,-2.501,104.658188,93.946014
11.4199705,-0.63,9.51,-2.58,105.14695,93.790085
11.4349546,-0.56,9.442,-2.519,104.912804,93.394203
