X (m/s^2),Y (m/s^2),Z (m/s^2),Theta
0.796158,8.602066,3.321503,68.968987
0.870377,8.791214,3.374176,69.095894
0.879944,8.895355,3.46756,68.797554
0.824875,9.010284,3.659088,67.981094
0.754257,9.135971,3.757248,67.713028
0.699188,9.150345,3.867386,67.14843
0.573486,9.120422,3.949982,66.624146
0.465744,9.044998,3.985901,66.246109
0.391525,8.936066,3.965546,66.090218
0.372375,8.813965,3.896118,66.171577
0.324493,8.688263,3.84584,66.138306
0.316116,8.545807,3.886536,65.559258
0.334076,8.426102,3.873367,65.32946
0.391525,8.357864,3.868576,65.186089
0.459763,8.329132,3.9021,64.930931
0.542358,8.375824,3.987091,64.590935
0.694397,8.414124,4.127151,63.948723
0.812912,8.47757,4.286377,63.283646
0.865585,8.558975,4.432419,62.740677
0.912262,8.620026,4.538956,62.361866
0.920654,8.676285,4.613174,62.133205
0.915863,8.669113,4.67543,61.793755
0.872772,8.643967,4.725708,61.456448
0.821289,8.605667,4.734085,61.293816
0.800934,8.527847,4.710144,61.193386
0.786575,8.471588,4.698181,61.092262
0.812912,8.409332,4.645508,61.195377
0.842834,8.337509,4.604797,61.211277
0.882339,8.289627,4.538956,61.432995
0.899094,8.247726,4.479111,61.636551
0.938599,8.306381,4.306717,62.742287
0.846436,8.508698,4.011032,64.86927
0.633347,8.77446,3.641129,67.515724
0.326889,9.056976,3.401718,69.426552
0.09465,9.34787,3.367004,70.192451
-0.101669,9.626785,3.489105,70.078621
-0.278839,9.911697,3.669861,69.690025
-0.505096,10.122391,3.824295,69.326698
-0.764862,10.210968,3.862595,69.332413
-1.102448,10.222946,3.753662,69.94471
-1.437637,10.01944,3.738098,69.730698
-1.732132,9.679459,3.680634,69.478821
-1.989502,9.241318,3.655502,68.858467
-2.079285,8.746918,3.751266,67.352135
-1.92247,8.196259,3.779999,65.819916
-1.52742,7.738968,3.787186,64.354149
-1.001892,7.450455,3.732117,63.597622
-0.530243,7.389404,3.695007,63.491867
-0.122025,7.476791,3.668671,63.867008
0.135345,7.607285,3.443619,65.648384
0.21196,7.817978,3.225739,67.586121
-0.7733195891,7.88867098,2.886391609,
