Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.078365,9.712767,1.302892,9.800076,82.360069,89.537735
0.0025154,0.121436,9.655338,1.281057,9.740709,82.442802,89.279427
0.0050308,0.159721,9.648160,1.324427,9.739949,82.184776,89.051582
0.0075462,0.162114,9.617053,1.329213,9.709830,82.131874,89.034264
0.0100620,0.078365,9.696016,1.295713,9.782522,82.388702,89.536934
0.0125774,0.104686,9.724730,1.326820,9.815385,82.231110,89.383240
0.0150928,0.152542,9.741480,1.300499,9.829089,82.396828,89.102875
0.0176082,0.181256,9.755837,1.290928,9.842546,82.463493,88.935608
0.0201237,0.205185,9.796814,1.310070,9.886149,82.385010,88.800171
0.0226391,0.209970,9.787243,1.281057,9.872959,82.544617,88.770996
0.0251545,0.265005,9.753445,1.290928,9.842073,82.463127,88.443634
0.0276699,0.274576,9.717552,1.290928,9.806768,82.435837,88.381500
0.0301860,0.207577,9.777672,1.230808,9.857020,82.826973,88.783806
0.0327014,0.236291,9.832706,1.269093,9.917084,82.647675,88.623383
0.0352169,0.279362,9.748658,1.269093,9.834886,82.585884,88.358559
0.0377323,0.221934,9.763016,1.218844,9.841307,82.885658,88.697769
0.0402478,0.131007,9.825528,1.223630,9.902294,82.901802,89.236099
0.0427632,0.166899,9.803992,1.199701,9.878532,83.024475,89.024712
0.0452787,0.181256,9.849456,1.216451,9.925945,82.960548,88.945724
0.0477941,0.164507,9.866206,1.206880,9.941109,83.026924,89.044754
0.0503309,0.071186,9.784850,1.190130,9.857220,83.065369,89.583168
0.0528469,0.157328,9.724730,1.230808,9.803572,82.787659,89.073143
0.0553628,0.221934,9.693624,1.317249,9.785231,82.263580,88.688446
0.0578789,0.219541,9.643374,1.384248,9.744691,81.833427,88.695824
0.0603948,0.200399,9.648160,1.396212,9.750721,81.767487,88.810097
0.0629108,0.166899,9.602696,1.403391,9.706140,81.686584,89.004272
0.0654268,0.123829,9.605089,1.405783,9.708208,81.674095,89.261383
0.0679428,0.157328,9.571589,1.374677,9.671081,81.828125,89.058311
0.0704128,0.126221,9.581161,1.343570,9.675730,82.018127,89.245232
0.0728771,0.123829,9.636196,1.391426,9.736923,81.784187,89.263771
0.0753907,0.202792,9.600304,1.355534,9.697651,81.964905,88.789894
0.0779043,0.219541,9.607482,1.355534,9.705121,81.971130,88.690956
0.0804178,0.214756,9.593125,1.353141,9.690468,81.973198,88.717567
0.0829314,0.226720,9.626625,1.341177,9.722246,82.070801,88.650856
0.0854450,0.219541,9.655338,1.286142,9.743095,82.414505,88.697441
0.0879586,0.243470,9.638589,1.264308,9.724204,82.529449,88.553024
0.0904608,0.276969,9.657731,1.269093,9.744695,82.516869,88.357292
0.0929741,0.257827,9.617053,1.261915,9.702918,82.527222,88.464310
0.0954874,0.219541,9.650553,1.273879,9.736741,82.482315,88.696800
0.0980007,0.202792,9.645767,1.259522,9.729766,82.562164,88.795593
0.1005140,0.190828,9.576375,1.271486,9.662300,82.438377,88.858421
0.1030273,0.095115,9.545269,1.322034,9.636855,82.114998,89.429092
0.1055406,0.073579,9.504591,1.384248,9.605145,81.713951,89.556458
0.1080539,0.071186,9.573982,1.405783,9.676902,81.646965,89.573990
0.1105949,0.071186,9.650553,1.479961,9.763633,81.281563,89.577370
0.1131089,0.025424,9.736694,1.475175,9.847842,81.384850,89.850395
0.1156229,0.054138,9.789636,1.470389,9.899593,81.458237,89.683151
0.1181369,0.061316,9.854242,1.405783,9.954199,81.881256,89.643494
0.1206509,0.011067,9.921241,1.424926,10.023051,81.826859,89.936089
0.1231649,0.011067,10.004990,1.427319,10.106294,81.880936,89.936623
0.1256789,-0.036790,10.019346,1.396212,10.116227,82.066879,90.210381
0.1281929,-0.082253,10.115358,1.367498,10.207707,82.301094,90.465889
0.1307160,-0.079860,10.144073,1.298106,10.227104,82.707886,90.451057
0.1332302,-0.101396,10.084252,1.293321,10.167355,82.691994,90.576080
0.1357444,-0.075075,10.033704,1.298106,10.117605,82.628532,90.428696
0.1382586,-0.036790,9.916455,1.261915,9.996492,82.747871,90.212563
0.1407729,-0.032004,9.806385,1.242772,9.884871,82.777390,90.186989
0.1432871,0.049352,9.768100,1.266701,9.850012,82.611366,89.710526
0.1458014,0.056530,9.717552,1.240379,9.796558,82.726044,89.666695
0.1483156,0.042173,9.698409,1.240379,9.777497,82.711784,89.750854
