Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.3544493,1.264050,9.816001,1.345050,9.988035,82.260689,82.662148
0.3591133,1.291950,9.826051,1.354950,10.002815,82.214958,82.509598
0.3637758,1.300050,9.844951,1.386000,10.026673,82.054489,82.477478
0.3684400,1.318950,9.868951,1.393050,10.053677,82.035400,82.387733
0.3731052,1.330950,9.864000,1.399950,10.051358,81.993835,82.315491
0.3777687,1.330950,9.888000,1.417050,10.077302,81.916389,82.333916
0.3824326,1.339950,9.888000,1.443000,10.082176,81.771347,82.282700
0.3870954,1.324050,9.864000,1.465050,10.059720,81.625931,82.354851
0.3917583,1.309050,9.871051,1.479000,10.066712,81.551529,82.445793
0.3964222,1.297050,9.838051,1.465050,10.030750,81.601570,82.489433
0.4010859,1.306950,9.840000,1.471950,10.034957,81.565292,82.434250
0.4057493,1.318950,9.841950,1.474050,10.038747,81.556381,82.367096
0.4104133,1.309050,9.823050,1.453050,10.015852,81.658379,82.409309
0.4150758,1.321050,9.841950,1.458000,10.036679,81.647247,82.355087
0.4197392,1.342950,9.838051,1.434000,10.032304,81.782097,82.226845
0.4244026,1.347000,9.847051,1.414950,10.038969,81.897423,82.210724
0.4290662,1.350000,9.838051,1.419000,10.031116,81.867668,82.186539
0.4337306,1.375950,9.844951,1.414950,10.040835,81.898941,82.043762
0.4383933,1.374000,9.844951,1.417050,10.040865,81.886856,82.054893
0.4430567,1.371000,9.852000,1.410000,10.046374,81.931946,82.077621
0.4477213,1.386000,9.840000,1.395000,10.034572,82.008896,81.982422
0.4523841,1.351950,9.840000,1.371000,10.026615,82.140976,82.176926
0.4570490,1.369050,9.826051,1.363950,10.014286,82.171959,82.068123
0.4617124,1.351950,9.816001,1.345050,9.999540,82.269646,82.158035
0.4663755,1.359000,9.820951,1.324050,10.002552,82.393364,82.121574
0.4710389,1.354950,9.829950,1.318950,10.010167,82.428635,82.151863
0.4757009,1.362000,9.840000,1.318950,10.020991,82.436859,82.119499
0.4803650,1.336050,9.832951,1.306950,10.009000,82.497032,82.262337
0.4850296,1.339950,9.844951,1.303950,10.020919,82.523308,82.249367
0.4896921,1.330950,9.844951,1.303950,10.019719,82.522408,82.300797
0.4943548,1.318950,9.835051,1.302000,10.008149,82.524979,82.361801
0.4990186,1.336050,9.838051,1.362000,10.021343,82.188759,82.266296
0.5036831,1.351950,9.853951,1.374000,10.040716,82.134804,82.187859
0.5083477,1.351950,9.844951,1.333050,10.026358,82.359642,82.180809
0.5130100,1.366950,9.862050,1.339950,10.046096,82.335037,82.108681
0.5176734,1.369050,9.838051,1.326000,10.020969,82.396179,82.077675
0.5223374,1.378950,9.852000,1.315950,10.034697,82.464523,82.032272
0.5269991,1.386000,9.835051,1.300050,10.016953,82.542831,81.978439
0.5316625,1.354950,9.844951,1.303950,10.022936,82.524826,82.163673
0.5363263,1.357050,9.826051,1.336050,10.008890,82.328896,82.136772
0.5409902,1.345050,9.844951,1.312050,10.022658,82.477913,82.220222
0.5456546,1.333050,9.850051,1.312050,10.026066,82.480484,82.292740
0.5503179,1.306950,9.850051,1.324050,10.024207,82.409889,82.441879
0.5549813,1.294950,9.853951,1.336050,10.028073,82.343658,82.513412
0.5596460,1.273050,9.877951,1.347000,10.050322,82.297722,82.656319
0.5643090,1.257000,9.856951,1.351950,10.028324,82.252182,82.732628
0.5689726,1.245000,9.868951,1.342950,10.037416,82.311089,82.809937
0.5736371,1.230000,9.868951,1.357050,10.037464,82.229904,82.895668
0.5783013,1.222950,9.876000,1.345050,10.041920,82.302467,82.940971
0.5829654,1.230000,9.883051,1.318950,10.046254,82.455986,82.905701
0.5876281,1.228050,9.880951,1.333050,10.045812,82.374527,82.915344
0.5922921,1.237050,9.883051,1.338000,10.049639,82.348969,82.865456
0.5969558,1.228050,9.886050,1.350000,10.053089,82.282600,82.918961
0.6016195,1.221000,9.877951,1.347000,10.043861,82.292740,82.953491
0.6062838,1.225050,9.888000,1.315950,10.050126,82.476166,82.937462
0.6109475,1.240050,9.871051,1.321050,10.035962,82.436111,82.839729
