X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-0.081000,9.532050,1.725000,9.687217,79.742653,90.486870,0.806381,8.987143,0.960120,9.074183,83.926285,84.872803,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.539950,9.595950,0.439950,9.936154,87.462242,104.825623,-1.031489,9.655471,-0.340159,9.716368,92.006271,96.097755,-1.456631,9.765707,0.589233,9.891310,86.584824,98.483566
0.054000,9.586950,1.713000,9.738937,79.869438,89.677277,0.808774,8.953344,0.940978,9.038912,84.024513,84.838364,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-2.470050,9.577050,0.402000,9.898619,87.672478,104.462181,-1.065391,9.590981,-0.464897,9.661164,92.758148,96.338577,-1.327418,9.756136,0.579661,9.863074,86.630737,97.748077
0.163950,9.685950,1.680000,9.831933,80.161491,89.030273,0.839881,9.118748,0.905085,9.201963,84.355385,84.737625,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-2.395950,9.550051,0.378000,9.853270,87.801430,104.083878,-0.873386,9.539036,-0.455243,9.589747,92.720963,95.231361,-1.212563,9.703494,0.555733,9.794741,86.747414,97.122841
0.291000,9.822001,1.639050,9.962071,80.530121,88.302971,0.888036,9.214461,0.857229,9.296760,84.709396,84.495163,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-2.308050,9.639001,0.316050,9.916517,88.173615,103.465881,-0.665416,9.766274,-0.458480,9.799648,92.681580,93.897766,-1.078565,9.703494,0.531805,9.777725,86.882179,96.342514
0.490050,9.970051,1.588950,10.107761,80.955528,87.186050,0.959821,9.288938,0.859622,9.377876,84.740608,84.100594,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-2.221050,9.814051,0.280050,10.066135,88.405769,102.751984,-0.563308,9.883179,-0.379500,9.906490,92.195435,93.262138,-0.954138,9.679565,0.517448,9.740232,86.954742,95.629593
0.661950,10.102051,1.573950,10.245337,81.162880,86.250977,0.998106,9.389436,0.845265,9.480095,84.884598,83.932190,-1.148000,10.957000,2.414000,11.278348,77.640877,95.981239,-2.218950,9.981001,0.256050,10.227887,88.565475,102.534004,-0.614888,9.792496,-0.411027,9.820388,92.398781,93.592987,-0.839283,9.684352,0.527019,9.734927,86.896667,94.953094
0.873000,10.227000,1.534050,10.378198,81.499695,85.120934,1.038784,9.499506,0.835693,9.592605,85.002144,83.759422,-1.147000,10.958000,2.415000,11.279432,77.636887,95.975525,-2.241000,9.937950,0.265050,10.190936,88.509659,102.707603,-0.649231,9.709877,-0.450292,9.741970,92.649261,93.825272,-0.762712,9.741779,0.531805,9.786052,86.884834,94.476723
1.042950,10.248000,1.452000,10.402767,81.976555,84.188957,1.057927,9.605089,0.857229,9.701123,84.930511,83.714645,-1.151000,10.954000,2.411000,11.275099,77.652870,95.998390,-2.302950,9.832951,0.318000,10.104040,88.196457,103.181511,-0.701195,9.584889,-0.445322,9.620815,92.653015,94.184090,-0.733998,9.760921,0.527019,9.802657,86.918129,94.300415
1.186950,10.234051,1.414050,10.399240,82.184921,83.384369,1.084248,9.743873,0.859622,9.841626,84.989090,83.650543,-1.150000,10.955000,2.412000,11.276181,77.648872,95.992668,-2.353050,9.850051,0.316050,10.132138,88.212494,103.435425,-0.739492,9.552252,-0.483179,9.593009,92.887085,94.426750,-0.705284,9.746565,0.546162,9.787300,86.801056,94.138847
1.282050,10.198050,1.404000,10.373770,82.221642,82.834641,1.074677,9.856635,0.828515,9.949604,85.223381,83.777573,-1.149000,10.956000,2.413000,11.277266,77.644875,95.986954,-2.407950,9.931050,0.301050,10.223239,88.312531,103.629295,-0.629062,9.681664,-0.496299,9.714765,92.928345,93.717545,-0.753141,9.760921,0.536590,9.804628,86.862732,94.412132
