X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.092324,9.659226,1.310669,9.808755,82.321037,83.548058,0.622134,8.699705,4.373781,9.757145,63.367615,85.909622,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.022950,9.325050,-1.405050,9.902977,98.156738,107.961411,0.828892,9.674538,-0.454228,9.720600,92.678314,85.102989,-2.165504,9.857831,-0.041575,10.092966,90.236015,102.389572
1.082752,9.680762,1.325026,9.830830,82.253944,83.618233,0.638884,8.685049,4.342674,9.731242,63.495956,85.792824,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.129000,9.342000,-1.387950,9.949372,98.018990,108.517708,0.797145,9.680285,-0.452897,9.723603,92.669632,85.292473,-2.350051,9.764511,-0.350249,10.049433,91.997314,103.532166
1.066002,9.659226,1.305883,9.805220,82.346466,83.702263,0.775275,8.433803,4.421637,9.554107,62.432091,84.747864,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.208050,9.322950,-1.387950,9.956676,98.013069,108.988464,0.792031,9.677947,-0.456057,9.721005,92.688995,85.321411,-2.452942,9.615857,-0.527617,9.937807,93.043373,104.310577
1.061217,9.678370,1.298705,9.822609,82.402344,83.742615,0.825524,8.347362,4.309175,9.430213,62.809265,84.352020,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.318000,9.306001,-1.371000,9.974488,97.900352,109.623398,0.810868,9.690388,-0.387746,9.731982,92.283409,85.216774,-2.498406,9.512965,-0.587438,9.853103,93.417976,104.715363
0.955933,9.745368,1.279562,9.875388,82.555206,84.397720,0.475873,8.924630,4.234997,9.889928,64.645790,86.947807,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.382950,9.337050,-1.374000,10.025604,97.877129,109.916191,0.915227,9.704102,-0.275036,9.751044,91.616287,84.612175,-2.500799,9.484252,-0.575474,9.825284,93.357773,104.771484
0.900898,9.728619,1.253241,9.850291,82.690514,84.709335,0.365803,9.092427,4.359424,10.090125,64.402367,87.696144,0.000000,9.001000,3.101000,9.520200,70.990288,90.000000,-3.411000,9.406950,-1.378950,10.100848,97.846420,109.930862,0.855525,9.752943,-0.419818,9.799391,92.455376,84.986862,-2.496013,9.512965,-0.515354,9.848460,92.999565,104.701881
0.872184,9.733404,1.236491,9.850318,82.788750,84.879555,0.499801,9.025428,4.500899,10.097834,63.529999,86.830368,0.000000,9.002000,3.102000,9.521471,70.986557,90.000000,-3.385050,9.463950,-1.422000,10.151207,98.052582,109.681030,0.804107,9.706562,-0.428600,9.749238,92.519676,85.264343,-2.481656,9.524930,-0.467498,9.854007,92.719269,104.603363
0.848256,9.752547,1.260419,9.870175,82.663307,85.029045,0.614955,8.950952,4.503292,10.038793,63.346806,86.069794,0.000000,9.003000,3.103000,9.522742,70.982826,90.000000,-3.358950,9.543000,-1.455000,10.220980,98.184097,109.391075,0.712275,9.619328,-0.394172,9.653714,92.340103,85.765190,-2.493620,9.551250,-0.441177,9.881253,92.558983,104.632050
0.841077,9.790833,1.284348,9.910468,82.553810,85.090088,0.653241,8.869596,4.397709,9.921506,63.688560,85.787804,0.001000,9.004000,3.104000,9.524014,70.979103,89.993637,-3.330000,9.580951,-1.450050,10.246276,98.135796,109.165649,0.649662,9.631759,-0.325276,9.659122,91.929832,86.141243,-2.548655,9.603892,-0.462712,9.947084,92.666214,104.862427
0.908076,9.690333,1.284348,9.817164,82.482635,84.646477,0.665205,8.840881,4.376173,9.887092,63.729160,85.697067,-0.001000,9.000000,3.100000,9.518929,70.994019,90.006363,-3.322950,9.615001,-1.443000,10.274848,98.073311,109.065178,0.653617,9.653986,-0.183271,9.677822,91.085091,86.126740,-2.531905,9.637392,-0.455534,9.974837,92.617508,104.719925
