X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
1.861950,9.445951,0.823050,9.662828,85.113800,78.849030,0.751346,9.818350,2.086242,10.065631,78.037941,85.623985,0.000000,9.806000,1.282000,9.889446,82.551605,90.000000,-3.244050,9.270000,-0.189000,9.823059,91.102463,109.287567,1.799396,9.731214,0.261772,9.899640,88.484772,79.523788,-0.566501,9.646067,-0.420539,9.671834,92.492050,93.361046
2.005050,9.379050,0.865950,9.629989,84.840866,77.932968,0.768096,9.777672,2.095814,10.029221,77.937958,85.508293,0.000000,9.807000,1.283000,9.890569,82.546616,90.000000,-3.304050,9.306001,-0.169050,9.876587,90.980736,109.547157,1.722657,9.638443,0.236605,9.794034,88.615715,79.866653,-0.537787,9.512068,-0.477966,9.539240,92.872025,93.235909
2.137050,9.357000,0.913950,9.641356,84.560493,77.134850,0.741775,9.796814,2.083550,10.043355,78.026711,85.670059,0.000000,9.808000,1.284000,9.891689,82.541618,90.000000,-3.354000,9.358951,-0.157950,9.943048,90.910210,109.716331,1.718443,9.553200,0.239133,9.709473,88.588730,79.802605,-0.547358,9.425926,-0.482752,9.454138,92.926941,93.323402
2.251950,9.301950,0.964050,9.619093,84.248016,76.390854,0.751346,9.765409,2.052444,10.007010,78.164612,85.600357,0.001000,9.809000,1.285000,9.892811,82.536629,89.994156,-3.430950,9.390000,-0.141000,9.998170,90.808044,110.071465,1.685595,9.578962,0.307272,9.730989,88.190491,80.019928,-0.676571,9.382855,-0.487538,9.419842,92.966751,94.124298
2.326050,9.259050,1.042950,9.603555,83.765358,75.898033,0.760918,9.777672,2.040479,10.017256,78.246796,85.550102,-0.001000,9.805000,1.281000,9.888326,82.556602,90.005844,-3.450000,9.454950,-0.102000,10.065237,90.580643,110.046432,1.638850,9.599340,0.343645,9.744294,87.978973,80.311569,-0.743570,9.430713,-0.511466,9.473797,93.094757,94.508186
2.383950,9.250051,1.084050,9.613626,83.525452,75.548058,0.782453,9.743873,2.059622,9.989861,78.101929,85.408882,0.000000,9.806000,1.282000,9.889446,82.551605,90.000000,-3.507000,9.514050,-0.130950,10.140678,90.739899,110.234528,1.598628,9.600529,0.313315,9.737758,88.156174,80.546158,-0.786640,9.540782,-0.516252,9.587067,93.086800,94.713394
2.380950,9.268950,1.099950,9.632874,83.443260,75.593689,0.796810,9.724730,2.112563,9.983397,77.783417,85.315849,0.000000,9.807000,1.283000,9.890569,82.546616,90.000000,-3.514050,9.568951,-0.117000,10.194462,90.657585,110.164986,1.500235,9.603851,0.292227,9.724714,88.278008,81.121475,-0.887139,9.579067,-0.497109,9.632895,92.958084,95.291199
2.359950,9.346050,1.054950,9.696956,83.754326,75.828606,0.823131,9.640982,2.124527,9.906548,77.616333,85.120018,0.000000,9.808000,1.284000,9.891689,82.541618,90.000000,-3.543000,9.592951,-0.141000,10.227289,90.789940,110.270889,1.476705,9.577898,0.274596,9.694957,88.376961,81.235237,-0.963709,9.669994,-0.525823,9.732113,93.097183,95.691292
2.410050,9.433950,1.048050,9.793170,83.856529,75.669403,0.861416,9.597911,2.136492,9.870488,77.499245,84.871422,0.001000,9.809000,1.285000,9.892811,82.536629,89.994156,-3.514050,9.627001,-0.150000,10.249400,90.838554,110.053108,1.494959,9.653268,0.381741,9.775797,87.762054,81.196793,-1.021137,9.760921,-0.492323,9.826530,92.871803,95.972267
2.455950,9.385950,1.291950,9.787588,82.414886,75.336601,0.945464,9.540483,2.117349,9.818242,77.546066,84.340454,-0.001000,9.805000,1.281000,9.888326,82.556602,90.005844,-3.517050,9.595950,-0.141000,10.221144,90.790413,110.128593,1.546664,9.624547,0.404850,9.756433,87.621788,80.870628,-1.112064,9.770494,-0.492323,9.845893,92.866150,96.493385
2.416950,9.283051,0.973050,9.641758,84.207825,75.406380,1.010070,9.446864,2.131706,9.736922,77.353798,83.897049,0.000000,9.806000,1.263000,9.887002,82.660782,90.000000,-3.466050,9.567000,-0.178950,10.177083,91.007523,109.915062,1.612782,9.534228,0.299821,9.674320,88.224037,80.398903,-1.164706,9.784850,-0.511466,9.867189,92.971260,96.788071
2.262000,9.328951,0.712050,9.625642,85.757713,76.370476,1.026820,9.410972,2.124527,9.702287,77.351349,83.773155,0.000000,9.807000,1.264000,9.888122,82.655777,90.000000,-3.435000,9.526051,-0.153000,10.127600,90.865616,109.828804,1.701703,9.595798,0.381291,9.752975,87.759460,79.943810,-1.179063,9.760921,-0.535394,9.846442,93.116959,96.887634
2.058000,9.468000,0.667050,9.712021,86.061661,77.736732,1.120140,9.434899,2.117349,9.734229,77.436836,83.229362,0.000000,9.808000,1.265000,9.889240,82.650772,90.000000,-3.391950,9.487950,-0.201000,10.078042,91.142799,109.672012,1.692212,9.533175,0.330840,9.687851,88.042969,79.934402,-1.159921,9.756136,-0.544965,9.839949,93.174835,96.780151
1.915050,9.610950,0.673950,9.823034,86.065895,78.731003,1.180260,9.272188,2.160420,9.593430,76.985489,82.745811,0.001000,9.809000,1.247000,9.887947,82.754959,89.994156,-3.370950,9.466950,-0.268050,10.052776,91.527931,109.599571,1.612476,9.486143,0.329605,9.627857,88.038124,80.352943,-1.097707,9.684352,-0.521037,9.760283,93.060097,96.466797
1.771050,9.690001,0.751050,9.879109,85.639938,79.642326,1.089033,9.137891,2.105385,9.440323,77.113503,83.203674,-0.001000,9.805000,1.243000,9.883475,82.775040,90.005844,-3.378000,9.463950,-0.328050,10.054097,91.869804,109.643181,1.568106,9.492876,0.353940,9.628028,87.893250,80.620148,-1.049851,9.717851,-0.492323,9.786787,92.883476,96.165932
1.696950,9.702001,0.781950,9.880279,85.460724,80.078911,1.036391,9.166604,2.009373,9.441308,77.711884,83.549438,0.000000,9.806000,1.244000,9.884593,82.770012,90.000000,-3.418950,9.447001,-0.462000,10.057261,92.632919,109.895622,1.517541,9.547137,0.326569,9.672507,88.065178,80.968254,-0.963709,9.693923,-0.458824,9.752507,92.696579,95.677338
1.663050,9.705001,0.736050,9.873933,85.724937,80.276230,1.029213,9.173783,1.985445,9.442435,77.861923,83.598717,0.000000,9.807000,1.245000,9.885711,82.764992,90.000000,-3.438000,9.388050,-0.502050,10.010364,92.874763,110.113251,1.567379,9.628272,0.224576,9.757599,88.681190,80.753975,-0.863211,9.689137,-0.458824,9.738328,92.700508,95.091072
1.624950,9.714001,0.673950,9.872005,86.085442,80.503532,1.024427,9.152247,1.992623,9.422506,77.791206,83.613365,0.000000,9.808000,1.246000,9.886827,82.759972,90.000000,-3.454050,9.319950,-0.514050,9.952697,92.960602,110.335121,1.547842,9.737419,0.205968,9.861823,88.803268,80.967941,-0.848854,9.703494,-0.468395,9.751807,92.753067,94.999458
1.558050,9.709050,0.685950,9.857165,86.009621,80.883247,1.067498,9.147462,2.040479,9.432877,77.507271,83.343758,0.001000,9.809000,1.247000,9.887947,82.754959,89.994156,-3.490050,9.313050,-0.579000,9.962359,93.331841,110.543404,1.497142,9.816332,-0.006895,9.929847,90.039787,81.328331,-0.815354,9.736994,-0.430110,9.780535,92.520462,94.786652
1.515000,9.742950,0.715050,9.885930,85.852173,81.161461,1.124926,9.154640,2.033301,9.444957,77.568100,82.994591,-0.001000,9.805000,1.243000,9.883475,82.775040,90.005844,-3.529050,9.301050,-0.628950,9.967914,93.617622,110.777992,1.519475,9.721128,0.005258,9.839166,89.969383,81.116180,-0.791426,9.775279,-0.449252,9.817549,92.622780,94.628685
1.462050,9.765000,0.781950,9.904759,85.471962,81.484726,1.077069,9.159426,2.059622,9.449719,77.410995,83.293312,0.000000,9.806000,1.244000,9.884593,82.770012,90.000000,-3.603000,9.088051,-0.517050,9.789873,93.027473,111.626083,2.356182,10.957055,-0.050901,11.207642,90.260216,77.864044,-0.767498,9.775279,-0.473181,9.816773,92.762802,94.489319
1.411950,9.745050,0.801000,9.879333,85.349449,81.755844,1.065105,9.197711,2.028515,9.478777,77.642784,83.394508,0.000000,9.807000,1.245000,9.885711,82.764992,90.000000,-3.634050,9.142950,-0.426000,9.847910,92.479271,111.676346,2.032208,10.425388,0.358058,10.627643,88.069275,78.969727,-0.848854,9.732208,-0.497109,9.781796,92.913017,94.984787
1.371000,9.733050,0.859050,9.866604,85.005135,81.982056,1.029213,9.250652,1.956731,9.511186,78.127800,83.651474,0.000000,9.808000,1.246000,9.886827,82.759972,90.000000,-3.684000,9.220051,-0.483000,9.940547,92.785034,111.779869,1.004588,9.002266,0.302129,9.063182,88.089638,83.632545,-0.844068,9.756136,-0.501895,9.805434,92.933983,94.944725
1.290000,9.705001,0.885000,9.830278,84.834785,82.428558,1.036391,9.305687,1.995016,9.573400,77.971893,83.645050,0.001000,9.809000,1.247000,9.887947,82.754959,89.994156,-3.708000,9.273001,-0.526050,10.000727,93.015221,111.795013,0.369818,8.604167,-0.028376,8.612158,90.188782,87.538872,-0.891925,9.751350,-0.501895,9.804911,92.934143,95.226120
1.279950,9.673950,0.913950,9.800963,84.649338,82.463036,0.995713,9.363115,1.997409,9.625436,78.023315,83.929741,-0.001000,9.805000,1.243000,9.883475,82.775040,90.005844,-3.708000,9.373051,-0.543000,10.094463,93.083534,111.583862,0.201496,8.341495,0.121760,8.344816,89.163963,88.616241,-0.930210,9.693923,-0.511466,9.751873,93.006424,95.481209
