"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.3970531,0.884456,9.735149,-0.447026,9.785460,92.618340,84.808823"
"0.4020172,0.879390,9.737371,-0.507360,9.790156,92.970596,84.839569"
"0.4069797,0.904558,9.699525,-0.394699,9.749604,92.320168,84.672119"
"0.4119422,0.942396,9.743750,-0.460836,9.800058,92.695259,84.475647"
"0.4169062,0.883307,9.688204,-0.545495,9.743670,93.209358,84.790550"
"0.4218687,0.856914,9.693049,-0.452207,9.741355,92.660706,84.947906"
"0.4268312,0.828528,9.714780,-0.392860,9.757957,92.307381,85.125305"
"0.4317953,0.825051,9.734049,-0.430401,9.778428,92.522705,85.155228"
"0.4367594,0.772504,9.746718,-0.443770,9.787350,92.598747,85.468338"
"0.4417219,0.730404,9.726273,-0.333541,9.759361,91.958549,85.705376"
"0.4466859,0.777934,9.742131,-0.378677,9.780475,92.218910,85.434479"
"0.4516484,0.821795,9.717069,-0.271435,9.755534,91.594391,85.165863"
"0.4566109,0.883374,9.700396,-0.303633,9.745266,91.785454,84.796669"
"0.4615750,0.937589,9.662347,-0.302033,9.712427,91.782051,84.457642"
"0.4665375,0.918904,9.738598,-0.286279,9.786042,91.676361,84.609703"
"0.4715000,0.910026,9.707070,-0.402599,9.757943,92.364616,84.644241"
"0.4764641,0.919038,9.710288,-0.333618,9.759387,91.959000,84.593300"
"0.4814265,0.890806,9.707789,-0.348883,9.754815,92.049637,84.757111"
"0.4863906,0.887215,9.682114,-0.360404,9.729356,92.122887,84.764359"
"0.4913531,0.862382,9.676540,-0.415202,9.723762,92.447258,84.907204"
"0.4963172,0.826411,9.657481,-0.423687,9.702031,92.502899,85.108994"
"0.5012797,0.758703,9.646766,-0.404362,9.685000,92.392868,85.503029"
"0.5062422,0.749615,9.661456,-0.361994,9.697252,92.139320,85.563416"
"0.5112062,0.765168,9.671310,-0.307751,9.706412,91.816917,85.476334"
"0.5161687,0.750975,9.670037,-0.337084,9.705009,91.990456,85.559326"
"0.5211328,0.768357,9.726253,-0.348318,9.762771,92.044647,85.483116"
"0.5260953,0.773997,9.701775,-0.384212,9.740181,92.260681,85.438660"
"0.5310578,0.843975,9.784499,-0.322384,9.826121,91.880150,85.070076"
"0.5360219,0.915035,9.741576,-0.408585,9.792984,92.391197,84.633904"
"0.5409844,0.974641,9.628283,-0.377834,9.684860,92.235840,84.219818"
"0.5459484,0.962402,9.650299,-0.329452,9.703763,91.945618,84.304855"
"0.5509109,0.918780,9.648097,-0.364857,9.698610,92.155952,84.560181"
"0.5558734,0.850641,9.741164,-0.316150,9.783344,91.851837,85.009346"
"0.5608375,0.852508,9.715709,-0.319942,9.758286,91.878876,84.985405"
"0.5658000,0.851062,9.724836,-0.314885,9.767082,91.847504,84.998543"
"0.5707640,0.794827,9.719885,-0.310308,9.757264,91.822472,85.325134"
"0.5757266,0.802326,9.730093,-0.284115,9.767249,91.666885,85.286156"
"0.5806906,0.785882,9.703048,-0.302301,9.739514,91.778671,85.369530"
"0.5856531,0.788018,9.656045,-0.264818,9.691765,91.565742,85.334503"
"0.5906156,0.788487,9.741375,-0.270526,9.776977,91.585556,85.372452"
"0.5955797,0.766872,9.728293,-0.329835,9.764045,91.935852,85.492744"
"0.6005422,0.785767,9.723561,-0.311447,9.760229,91.828613,85.379929"
"0.6055062,0.890078,9.672000,-0.268352,9.716576,91.582596,84.742096"
"0.6104687,0.868645,9.699246,-0.333646,9.743780,91.962303,84.882355"
"0.6154328,0.912900,9.726971,-0.344612,9.775792,92.020187,84.638359"
"0.6203953,0.938058,9.694840,-0.363727,9.746906,92.138611,84.473351"
"0.6253594,0.871805,9.715518,-0.361649,9.761256,92.123260,84.872391"
"0.6303219,0.891333,9.656993,-0.274031,9.701911,91.618538,84.726585"
"0.6352843,0.763578,9.608909,-0.341988,9.645265,92.031937,85.456505"
"0.6402484,0.688467,9.610085,-0.344506,9.640872,92.047844,85.902328"
"0.6452109,0.666009,9.660163,-0.249074,9.686297,91.473465,86.056046"
"0.6501750,0.747163,9.689305,-0.325228,9.723511,91.916763,85.590523"
"0.6551375,0.792557,9.704934,-0.276779,9.741176,91.628181,85.331276"
"0.6600999,0.835950,9.754428,-0.265507,9.793782,91.553467,85.101746"
"0.6650640,0.883020,9.716043,-0.327364,9.761578,91.921829,84.807076"
"0.6700265,0.954856,9.684201,-0.353739,9.737589,92.081848,84.368874"
"0.6749907,0.981987,9.711025,-0.314158,9.765603,91.843513,84.225830"
"0.6799532,0.988556,9.749706,-0.353355,9.806063,92.065063,84.210373"
"0.6849172,0.998334,9.715450,-0.356947,9.773129,92.093094,84.133026"
"0.6898797,0.941889,9.714406,-0.322288,9.765281,91.891304,84.462029"
"0.6948422,0.904941,9.723715,-0.376790,9.772999,92.209541,84.683060"
"0.6998063,0.882618,9.718620,-0.306898,9.763441,91.801300,84.810791"
"0.7047688,0.912679,9.658842,-0.354735,9.708349,92.094002,84.602058"
"0.7097328,0.817131,9.724328,-0.304887,9.763361,91.789505,85.196739"
"0.7146953,0.823270,9.705395,-0.262826,9.743794,91.545662,85.151436"
"0.7196594,0.852499,9.624480,-0.284833,9.666360,91.688545,84.938179"
"0.7246219,0.814957,9.659627,-0.272010,9.697760,91.607285,85.177528"
"0.7295843,0.678373,9.785322,-0.250089,9.811996,91.460518,86.034279"
"0.7345484,0.924526,9.738808,-0.388186,9.790292,92.272377,84.577042"
"0.7395109,1.115985,9.509329,-0.414906,9.583575,92.481308,83.306564"
"0.7444750,1.086441,9.398410,-0.632117,9.482090,93.822418,83.405968"
"0.7494375,1.122105,9.505699,-0.533735,9.586569,93.191605,83.267647"
"0.7544015,1.094447,9.728398,-0.202157,9.791855,91.182976,83.581200"
"0.7593640,0.973569,9.874320,-0.121568,9.922944,90.701958,84.369064"
"0.7643266,0.814517,9.867348,-0.224442,9.903452,91.298607,85.281120"
"0.7692906,0.753063,9.866381,-0.335849,9.900776,91.943932,85.635300"
"0.7742531,0.675395,9.862885,-0.289794,9.890229,91.679070,86.082588"
"0.7792172,0.580556,9.882595,-0.212912,9.901922,91.232071,86.638008"
"0.7841797,0.700850,9.937412,0.080091,9.962418,89.539375,85.965813"
"0.7891437,0.970820,9.574097,-0.300147,9.627872,91.786469,84.209961"
"0.7941062,0.831525,9.671091,-0.765742,9.736930,94.510574,85.085762"
"0.7990687,0.812104,9.816792,-0.181519,9.851997,91.055710,85.270920"
"0.8040328,1.065104,9.718649,-0.131193,9.777719,90.768791,83.745697"
"0.8089953,1.145032,9.824520,-0.450656,9.901281,92.608711,83.352264"
"0.8139578,0.296986,10.012197,-0.383427,10.023937,92.192162,88.300964"
"0.8189218,0.623383,9.849631,0.091267,9.869761,89.470169,86.378578"
"0.8238859,1.409055,8.953874,0.043823,9.064172,89.722984,81.056816"
"0.8288484,0.969585,8.677822,-0.745765,8.763610,94.881653,83.624710"
"0.8338109,0.386348,9.059784,-0.740871,9.098232,94.670784,87.558144"
"0.8387750,0.093067,9.715259,-0.185943,9.717484,91.096420,89.451149"
"0.8437374,0.518134,10.400757,-0.210623,10.415785,91.158684,87.148056"
"0.8487015,1.212404,10.257794,-0.238223,10.331942,91.321182,83.259285"
"0.8536640,1.642614,9.727096,-0.586474,9.882233,93.402290,80.414894"
"0.8586265,1.298289,9.210369,-0.367318,9.308673,92.261467,81.976479"
"0.8635890,0.692231,9.122560,-0.150662,9.150026,90.943459,85.660645"
"0.8685531,0.204216,9.341515,-0.433437,9.353794,92.655930,88.747650"
"0.8735156,0.149379,9.596563,-0.233205,9.600558,91.391891,89.108215"
"0.8784797,0.325755,9.842735,-0.144217,9.849180,90.838989,88.104431"
"0.8834422,0.543723,9.834490,-0.143135,9.850549,90.832573,86.835487"
"0.8884062,0.737922,9.734661,-0.377661,9.769892,92.215355,85.665070"
"0.8933687,0.829466,9.606026,-0.312587,9.646836,91.856880,85.064835"
"0.8983328,0.926297,9.548603,-0.375813,9.600785,92.243355,84.459152"
"0.9032953,0.940414,9.682372,-0.358642,9.734543,92.111382,84.452469"
"0.9082594,0.925206,9.776187,-0.323102,9.825183,91.884521,84.593704"
"0.9132218,0.911511,9.777766,-0.282688,9.824229,91.648888,84.674118"
"0.9181859,0.873271,9.740417,-0.267298,9.783137,91.565651,84.876884"
"0.9231484,0.798840,9.697158,-0.330218,9.735608,91.943764,85.290680"
"0.9281109,0.780098,9.666983,-0.372768,9.705568,92.201134,85.386391"
"0.9330750,0.847739,9.650031,-0.344018,9.693302,92.033867,84.979553"
"0.9380375,0.863253,9.701420,-0.296201,9.744254,91.741920,84.915092"
"0.9430015,0.821479,9.765652,-0.369406,9.807101,92.158684,85.191643"
"0.9479640,0.815637,9.751938,-0.323256,9.791326,91.891937,85.218994"
"0.9529266,0.830798,9.698844,-0.278321,9.738339,91.637733,85.104027"
"0.9578906,0.859413,9.708162,-0.323792,9.751505,91.902817,84.941093"
"0.9628531,0.879706,9.675448,-0.301267,9.720028,91.776138,84.804863"
"0.9678172,0.821470,9.688080,-0.312367,9.727861,91.840111,85.153381"
"0.9727797,0.798648,9.746259,-0.301631,9.783577,91.766731,85.315414"
"0.9777437,0.729245,9.718122,-0.348203,9.751664,92.046295,85.708588"
"0.9827062,0.723595,9.659215,-0.316332,9.691444,91.870483,85.715836"
"0.9876687,0.717360,9.702781,-0.313430,9.734310,91.845154,85.771614"
"0.9926328,0.777445,9.685983,-0.324175,9.722539,91.910744,85.410995"
"0.9975953,0.877427,9.709646,-0.296718,9.753725,91.743263,84.836403"
"1.0025578,0.867850,9.738032,-0.307396,9.781459,91.800896,84.907272"
"1.0075219,0.877398,9.688386,-0.362856,9.734799,92.136139,84.825302"
"1.0124843,0.899731,9.733273,-0.351699,9.781095,92.060631,84.718658"
"1.0174484,0.895154,9.702703,-0.343357,9.749956,92.018166,84.728920"
"1.0224109,0.892329,9.671177,-0.262730,9.715809,91.549553,84.728424"
"1.0273734,0.856281,9.719003,-0.323141,9.762000,91.896942,84.965019"
"1.0323374,0.831133,9.701027,-0.269903,9.740306,91.587868,85.103157"
"1.0373000,0.844263,9.725592,-0.270842,9.765924,91.589211,85.038689"
"1.0422640,0.836208,9.736280,-0.321101,9.777397,91.881996,85.091148"
"1.0472265,0.833967,9.702502,-0.222632,9.740823,91.309639,85.087280"
"1.0521907,0.833575,9.756314,-0.265019,9.795445,91.550346,85.116539"
"1.0571531,0.867860,9.725189,-0.353221,9.770223,92.071854,84.900528"
"1.0621157,0.800908,9.725976,-0.363411,9.765661,92.132652,85.292465"
"1.0670781,0.797614,9.727489,-0.300281,9.764752,91.762207,85.312469"
"1.0720421,0.798045,9.739057,-0.257894,9.775102,91.511795,85.315491"
"1.0770062,0.801962,9.749199,-0.401249,9.790354,92.348877,85.297478"
"1.0819688,0.750055,9.717969,-0.334671,9.752616,91.966553,85.586525"
"1.0869312,0.728709,9.718831,-0.286452,9.750320,91.683517,85.712036"
"1.0918952,0.768644,9.722404,-0.332344,9.758401,91.951714,85.479652"
"1.0968578,0.716412,9.704762,-0.220276,9.733663,91.296730,85.778046"
"1.1018202,0.735681,9.646219,-0.273226,9.678090,91.617760,85.638710"
"1.1067843,0.754729,9.706496,-0.270392,9.739549,91.590866,85.553909"
"1.1117485,0.799434,9.700099,-0.300204,9.737615,91.766670,85.288620"
"1.1167109,0.839110,9.726311,-0.338684,9.768312,91.986938,85.069176"
"1.1216735,0.842328,9.737850,-0.410807,9.782843,92.406708,85.056198"
"1.1266375,0.867448,9.726769,-0.390973,9.773196,92.292709,84.903755"
"1.1316000,0.826718,9.669511,-0.244898,9.707877,91.445541,85.113243"
"1.1365626,0.841313,9.686308,-0.213745,9.725125,91.259384,85.035980"
"1.1415265,0.751387,9.692389,-0.184794,9.723228,91.088997,85.567108"
"1.1464890,0.770157,9.730160,-0.217872,9.763023,91.278725,85.474388"
"1.1514531,0.789589,9.753978,-0.328188,9.791386,91.920799,85.371971"
"1.1564156,0.710781,9.722757,-0.274490,9.752567,91.612831,85.818840"
"1.1613797,0.799529,9.751229,-0.263027,9.787487,91.539940,85.312653"
"1.1663438,0.788047,9.697283,-0.288913,9.733539,91.700920,85.354088"
"1.1713047,0.726851,9.747619,-0.370814,9.781712,92.172539,85.735519"
"1.1762688,0.776449,9.763803,-0.402887,9.802910,92.355446,85.453224"
"1.1812311,0.761337,9.742754,-0.399247,9.780608,92.339485,85.531761"
