Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.1911539,0.861416,9.801600,1.089632,9.899529,83.680702,84.977448
0.1936697,0.847059,9.792028,1.108774,9.890941,83.563614,85.055939
0.1961855,0.863809,9.787243,1.072882,9.883692,83.768219,84.956223
0.1987093,0.876072,9.796814,1.075275,9.894507,83.761124,84.889961
0.2012251,0.916750,9.830314,1.096810,9.933705,83.660873,84.672150
0.2037409,0.938286,9.784850,1.080060,9.888893,83.729675,84.522560
0.2062568,0.959821,9.780065,1.072882,9.885444,83.769333,84.394913
0.2087726,0.923929,9.818350,1.092024,9.922004,83.681175,84.624168
0.2112884,0.911965,9.748658,1.080060,9.850612,83.705208,84.655663
0.2138042,0.928714,9.765409,1.103989,9.871398,83.578773,84.567368
0.2163200,0.911965,9.803992,1.118345,9.909623,83.520111,84.685654
0.2187899,0.940678,9.758230,1.072882,9.861999,83.754463,84.493790
0.2213046,0.974178,9.746265,1.099203,9.856316,83.596901,84.292015
0.2238193,0.916750,9.736694,1.123131,9.844037,83.448715,84.621223
0.2263339,0.907179,9.703195,1.106381,9.808111,83.523094,84.658783
0.2288486,0.921536,9.691231,1.089632,9.795737,83.613472,84.568100
0.2313633,0.952643,9.703195,1.087239,9.810281,83.637039,84.392769
0.2338780,0.933500,9.691231,1.106381,9.798748,83.516884,84.498009
0.2363926,0.962214,9.643374,1.092024,9.752592,83.570953,84.301903
0.2389377,0.952643,9.619446,1.070489,9.725595,83.680695,84.344269
0.2414630,0.947857,9.636196,1.092024,9.744087,83.565315,84.382217
0.2439786,0.947857,9.655338,1.070489,9.760632,83.703468,84.393288
0.2464943,0.950250,9.684052,1.130310,9.795992,83.374176,84.395782
0.2490100,0.974178,9.676874,1.120738,9.790147,83.426590,84.251358
0.2515257,0.950250,9.645767,1.113560,9.756219,83.446068,84.373680
0.2540413,0.962214,9.715159,1.137488,9.828736,83.354218,84.343727
0.2565571,0.966999,9.717552,1.082453,9.825356,83.674919,84.317169
0.2590725,0.969392,9.688838,1.108774,9.800137,83.503723,84.286430
0.2615883,0.969392,9.722338,1.089632,9.831117,83.636551,84.305984
0.2641039,0.981356,9.712767,1.053739,9.818924,83.839317,84.230545
0.2666196,0.976571,9.722338,1.048954,9.827403,83.872711,84.264099
0.2691353,0.998106,9.703195,1.072882,9.813220,83.723289,84.126999
0.2716780,1.014856,9.724730,1.065703,9.835448,83.779602,84.042282
0.2741936,1.000499,9.686445,1.058525,9.795341,83.796265,84.102913
0.2767093,1.014856,9.662517,1.053739,9.772641,83.810020,84.004196
0.2792250,1.007677,9.681660,1.046561,9.790058,83.863335,84.057991
0.2817475,0.988535,9.662517,1.029811,9.767391,83.947853,84.158615
0.2842385,0.988535,9.657731,1.070489,9.767033,83.707611,84.155739
0.2867542,0.978964,9.691231,1.068096,9.798936,83.742256,84.231812
0.2892795,0.983749,9.681660,1.041775,9.787114,83.889656,84.198112
0.2917951,1.002892,9.674481,1.048954,9.782723,83.844620,84.081650
0.2943108,0.998106,9.729516,1.072882,9.839247,83.739960,84.142776
0.2968265,0.983749,9.736694,1.058525,9.843346,83.826637,84.230682
0.2993422,0.978964,9.729516,1.032204,9.832970,83.974342,84.254356
0.3018579,0.981356,9.748658,1.029811,9.851898,83.999954,84.251640
0.3043735,0.945464,9.765409,0.998405,9.861740,84.189407,84.469994
0.3068892,0.943071,9.729516,1.005584,9.826701,84.126541,84.463676
0.3094049,0.947857,9.739087,1.032204,9.839395,83.978294,84.441193
0.3119012,0.959821,9.755837,0.996012,9.853409,84.198463,84.381081
0.3144164,0.969392,9.741480,1.003191,9.840861,84.149025,84.317101
0.3169317,0.957428,9.705587,1.029811,9.806916,83.972336,84.366165
0.3194468,0.943071,9.705587,1.007977,9.803256,84.098381,84.450111
0.3219621,0.962214,9.710373,1.063311,9.815693,83.781082,84.340958
0.3244773,0.990928,9.722338,1.058525,9.829866,83.818138,84.180351
0.3269925,0.955035,9.676874,1.063311,9.781852,83.759483,84.363586
0.3295078,0.971785,9.612267,1.068096,9.720128,83.691315,84.227104
0.3320352,0.969392,9.660124,1.068096,9.767218,83.721855,84.269562
0.3345508,0.945464,9.636196,1.036990,9.737840,83.886940,84.396309
0.3370664,0.957428,9.667302,1.020240,9.768023,84.004700,84.343994
0.3395819,0.959821,9.693624,1.007977,9.793039,84.092209,84.345253
0.3420974,0.969392,9.729516,1.012762,9.830000,84.086456,84.310158
0.3446129,0.938286,9.729516,1.025025,9.828252,84.013519,84.491600
0.3471285,0.907179,9.758230,0.991227,9.850307,84.224609,84.688736
