X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-1.592423,9.587442,-0.952942,9.765396,95.600037,99.430435,-0.741177,9.873384,0.102592,9.901696,89.406342,94.293037,1.357,8.023,2.602,8.542855,72.266983,80.399925,-0.61695,9.759001,-2.073,9.995802,101.969269,93.61734,0.65422,9.717959,0.148527,9.741088,89.12635,86.148613,-3.456133,9.283255,-0.173181,9.907253,91.001595,110.420174
-1.491925,9.515657,-0.921835,9.675916,95.466919,98.910652,-0.781855,9.882956,0.112164,9.914469,89.351791,94.523331,1.358,8.024,2.603,8.544258,72.262947,80.394157,-0.615,9.78495,-2.05395,10.017095,101.8321,93.596405,0.677703,9.759197,0.103506,9.783247,89.393806,86.027618,-3.432205,9.297611,-0.106182,9.911452,90.613823,110.261581
-1.444068,9.575478,-0.940978,9.729365,95.550049,98.576096,-0.793819,9.914063,0.057129,9.945956,89.670898,94.577904,1.359,8.025,2.604,8.54566,72.258919,80.38839,-0.624,9.802051,-2.013,10.026052,101.582397,93.64254,0.712601,9.75483,0.138433,9.781803,89.189117,85.821907,-3.48724,9.266505,-0.077468,9.90126,90.448288,110.622696
-1.336391,9.544372,-0.895514,9.678994,95.308678,97.970665,-0.781855,9.959526,0.018843,9.990186,89.89193,94.488701,1.36,8.026,2.605,8.547064,72.25489,80.382622,-0.648,9.820951,-2.01495,10.046442,101.569916,93.774986,0.617551,9.694487,0.272795,9.717966,88.391426,86.35511,-3.484847,9.240184,-0.065504,9.8757,90.380035,110.66349
-1.231107,9.55155,-0.936192,9.67596,95.552307,97.344406,-0.824926,9.957133,0.045165,9.991348,89.741005,94.736008,1.361,8.027,2.606,8.548468,72.250862,80.376862,-0.68895,9.84,-2.02995,10.070797,101.628662,94.005043,0.529818,9.622325,0.225926,9.639548,88.657013,86.848404,-3.477669,9.273684,-0.046361,9.90442,90.268196,110.556244
-1.178465,9.537193,-0.881157,9.65004,95.239044,97.04406,-0.844068,9.990633,0.064307,10.026432,89.632515,94.829224,1.357,8.023,2.602,8.542855,72.266983,80.399925,-0.75105,9.871051,-2.04195,10.107982,101.654732,94.351028,0.589366,9.7399,0.232544,9.760486,88.634796,86.537224,-3.47049,9.268898,-0.07986,9.897634,90.462303,110.527061
-1.099502,9.498908,-0.809372,9.596522,94.838081,96.602623,-0.879961,10.014561,0.071486,10.053401,89.59259,95.021576,1.358,8.024,2.603,8.544258,72.262947,80.394157,-0.81795,9.889951,-2.085,10.140385,101.865417,94.727898,0.45395,9.661447,0.28264,9.676234,88.326164,87.309891,-3.463312,9.283255,-0.110967,9.908868,90.641655,110.459076
-1.101895,9.527621,-0.847657,9.628512,95.050636,96.597099,-0.872782,10.009775,0.095414,10.048206,89.455933,94.983185,1.359,8.025,2.604,8.54566,72.258919,80.38839,-0.873,9.883051,-2.09895,10.141126,101.945084,95.048012,0.397533,9.70956,0.271397,9.721484,88.400253,87.655479,-3.477669,9.311969,-0.11336,9.940814,90.653389,110.47876
-1.056431,9.530014,-0.814158,9.622892,94.853386,96.325584,-0.89671,10.016953,0.140877,10.057997,89.197456,95.11544,1.36,8.026,2.605,8.547064,72.25489,80.382622,-0.876,9.87405,-2.097,10.132209,101.944481,95.069862,0.507149,9.767835,0.320488,9.786241,88.123299,87.027855,-3.494418,9.357432,-0.075075,9.988901,90.430626,110.477531
-1.056431,9.568299,-0.802194,9.659809,94.76358,96.300484,-0.906282,10.043574,0.150449,10.085503,89.145271,95.15612,1.361,8.027,2.606,8.548468,72.250862,80.376862,-0.83505,9.876,-2.06595,10.12427,101.774429,94.833061,0.568709,9.729011,0.286663,9.749834,88.315155,86.654587,-3.530311,9.352647,-0.063111,9.996953,90.36171,110.67984
