X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
-0.771,9.38895,2.13705,9.659908,77.218781,94.694473,0.221934,9.763016,1.218844,9.841307,82.885658,88.697769,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.222,9.43995,1.752,10.127361,80.037903,108.845566,-0.451795,9.693328,-0.280543,9.707906,91.655991,92.668564,-1.41356,9.574282,-0.200399,9.680144,91.186226,98.398552
-0.759,9.34305,2.13,9.612782,77.198151,94.644333,0.131007,9.825528,1.22363,9.902294,82.901802,89.236099,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.31305,9.246,1.77105,9.980052,79.778214,109.713745,-0.369971,9.618964,-0.443167,9.636272,92.635933,92.202667,-1.394417,9.555139,-0.190828,9.658235,91.132126,98.30278
-0.74505,9.32205,2.11305,9.587528,77.267723,94.569557,0.166899,9.803992,1.199701,9.878532,83.024475,89.024712,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.32805,9.174001,1.78095,9.920181,79.65773,109.93924,-0.320842,9.670277,-0.380755,9.683086,92.253548,91.900276,-1.470988,9.588638,-0.224327,9.703407,91.324707,98.721718
-0.70905,9.298051,2.09595,9.557693,77.332397,94.360817,0.181256,9.849456,1.216451,9.925945,82.960548,88.945724,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.25095,9.214951,1.78095,9.932562,79.670769,109.432373,-0.284594,9.768563,-0.252837,9.775978,91.48201,91.668762,-1.52363,9.559925,-0.248255,9.683762,91.469009,99.055458
-0.711,9.252001,2.06295,9.50583,77.465965,94.39444,0.164507,9.866206,1.20688,9.941109,83.026924,89.044754,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.15795,9.265051,1.76895,9.94701,79.75618,108.821442,-0.202253,9.745436,-0.109875,9.748154,90.645813,91.188919,-1.581058,9.564711,-0.324826,9.699945,91.919044,99.386177
-0.70905,9.274051,2.03895,9.521979,77.635452,94.372055,0.071186,9.78485,1.19013,9.85722,83.065369,89.583168,-0.001,9.805,0.994,9.855256,84.211311,90.005844,-3.165,9.33195,1.719,10.002874,80.104568,108.734749,-0.193902,9.686893,-0.093307,9.689282,90.551758,91.146729,-1.71027,9.602996,-0.367896,9.76104,92.160004,100.098358
-0.70095,9.250051,2.05605,9.50169,77.503036,94.333473,0.157328,9.72473,1.230808,9.803572,82.787659,89.073143,0.0,9.806,0.995,9.856351,84.206116,90.0,-3.17895,9.38805,1.716,10.059118,80.177788,108.706955,-0.128147,9.643078,-0.16564,9.645351,90.983994,90.76136,-1.719841,9.617352,-0.367896,9.776844,92.156509,100.138855
-0.71805,9.31005,2.08695,9.568071,77.401596,94.410286,0.221934,9.693624,1.317249,9.785231,82.26358,88.688446,0.0,9.807,0.996,9.857448,84.20092,90.0,-3.21495,9.378,1.743,10.065825,80.028389,108.922653,-0.181279,9.747169,-0.228493,9.751532,91.342651,91.065475,-1.829911,9.612567,-0.382253,9.792657,92.237091,100.778236
-0.66105,9.286051,2.13705,9.551686,77.071472,94.071869,0.219541,9.643374,1.384248,9.744691,81.833427,88.695824,0.0,9.808,0.997,9.858542,84.195724,90.0,-3.26805,9.370951,1.776,10.082115,79.85421,109.225845,-0.197426,9.755653,-0.026786,9.757688,90.157288,91.15934,-1.815554,9.612567,-0.406182,9.790948,92.377625,100.695633
-0.663,9.331051,2.13195,9.59444,77.161316,94.064209,0.200399,9.64816,1.396212,9.750721,81.767487,88.810097,0.001,9.809,0.998,9.859639,84.190529,89.994156,-3.30105,9.364051,1.79805,10.090361,79.735367,109.418762,-0.138165,9.746958,-0.111014,9.748569,90.652481,90.812119,-1.839482,9.607781,-0.401396,9.79052,92.349693,100.838547
