X (m/s2)_LK,Y (m/s2)_LK,Z (m/s2)_LK,R (m/s2)_LK,Theta (deg)_LK,Phi (deg)_LK,X (m/s2)_LH,Y (m/s2)_LH,Z (m/s2)_LH,R (m/s2)_LH,Theta (deg)_LH,Phi (deg)_LH,X (m/s2)_RH,Y (m/s2)_RH,Z (m/s2)_RH,R (m/s2)_RH,Theta (deg)_RH,Phi (deg)_RH,X (m/s2)_RK,Y (m/s2)_RK,Z (m/s2)_RK,R (m/s2)_RK,Theta (deg)_RK,Phi (deg)_RK,X (m/s2)_RA,Y (m/s2)_RA,Z (m/s2)_RA,R (m/s2)_RA,Theta (deg)_RA,Phi (deg)_RA,X (m/s2)_LA,Y (m/s2)_LA,Z (m/s2)_LA,R (m/s2)_LA,Theta (deg)_LA,Phi (deg)_LA
0.278764,9.575478,1.604986,9.713057,80.488823,88.332458,-0.376870,9.296116,3.106482,9.808671,71.536064,92.321533,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-4.075050,9.268050,-0.028050,10.124405,90.158737,113.734512,-0.488590,9.789307,-0.921432,9.844708,95.370560,92.857292,-1.311715,10.542776,-0.771536,10.652041,94.153618,97.092201
0.285942,9.594621,1.624128,9.735312,80.396523,88.292953,-0.321835,9.257831,3.106482,9.770427,71.461159,91.990997,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-4.105950,9.282001,-0.022950,10.149625,90.129555,113.862495,-0.437038,9.693241,-0.851043,9.740338,95.012497,92.581535,-1.315305,10.533205,-0.836142,10.647890,94.503876,97.117805
0.273978,9.630513,1.607379,9.767575,80.528168,88.370430,-0.321835,9.279366,3.101696,9.789318,71.527771,91.986382,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-4.102950,9.364051,-0.055050,10.223633,90.308517,113.661095,-0.464284,9.689142,-0.586972,9.718002,93.462799,92.743393,-1.314108,10.524831,-0.820589,10.638247,94.423943,97.116997
0.300299,9.659226,1.628914,9.800214,80.432343,88.219284,-0.355334,9.300901,3.072983,9.801849,71.729080,92.187881,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-4.084050,9.430950,-0.034950,10.277329,90.194847,113.414909,-0.358173,9.685945,-0.543254,9.707777,93.207985,92.117752,-1.293769,10.522438,-0.807428,10.632379,94.355263,97.009529
0.307478,9.702297,1.631307,9.843287,80.460480,88.184837,-0.364905,9.260223,3.051447,9.756855,71.775017,92.256615,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-4.020000,9.469050,-0.009000,10.287050,90.050125,113.003212,-0.249275,9.754284,-0.594164,9.775542,93.484627,91.463898,-1.310519,10.529616,-0.815803,10.642172,94.396469,97.094566
0.340977,9.754940,1.626521,9.895488,80.539360,87.998077,-0.376870,9.272188,3.087339,9.779937,71.598076,92.327515,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.925950,9.454950,0.010950,10.237641,89.938721,112.549545,-0.221157,9.835113,-0.461200,9.848404,92.684135,91.288162,-1.288984,10.564312,-0.873231,10.678422,94.690613,96.956444
0.357727,9.833903,1.590629,9.968136,80.817986,87.916672,-0.391227,9.228818,3.111268,9.747006,71.385307,92.427422,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.756000,9.478050,0.021000,10.195167,89.881981,111.617638,-0.313075,9.876513,-0.453874,9.891891,92.629845,91.815613,-1.291376,10.565509,-0.791875,10.673552,94.254707,96.968452
0.321835,9.915258,1.530808,10.037893,81.227997,88.140915,-0.374477,9.248260,3.106482,9.763236,71.447006,92.318733,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.589050,9.547951,-0.037950,10.200298,90.213165,110.601112,-0.379854,9.801909,-0.542411,9.824252,93.164993,92.219276,-1.285394,10.522438,-0.758375,10.627750,94.091988,96.964600
0.352941,9.905687,1.552344,10.032795,81.099037,87.959404,-0.367298,9.250652,3.159423,9.782200,71.156960,92.273743,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.430950,9.631950,-0.117000,10.225437,90.655594,109.606163,-0.321675,9.772672,-0.520471,9.791807,93.046921,91.885254,-1.279412,10.527224,-0.801446,10.634926,94.321899,96.929382
0.410369,9.838689,1.604986,9.977183,80.742859,87.611595,-0.381655,9.286545,3.130410,9.807398,71.386131,92.353401,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.382950,9.679951,-0.069000,10.254294,90.385536,109.263504,-0.419914,9.742246,-0.592718,9.769289,93.478363,92.468056,-1.266252,10.529616,-0.842124,10.638862,94.540024,96.857246
0.429512,9.833903,1.597807,9.972117,80.779900,87.499100,-0.357727,9.310472,3.164209,9.839973,71.242294,92.200333,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.355950,9.571951,-0.037950,10.143278,90.214363,109.320793,-0.670884,9.748855,-0.659890,9.794168,93.863274,93.936699,-1.267448,10.478021,-0.761964,10.581868,94.129250,96.897133
0.412762,9.869795,1.593022,10.006045,80.839195,87.605247,-0.362513,9.327223,3.166602,9.856768,71.260757,92.225739,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.435000,9.486000,0.004050,10.088778,89.976997,109.905960,-0.769391,9.709732,-0.626907,9.760322,93.682655,94.530602,-1.216003,10.503295,-0.797857,10.603511,94.315277,96.603928
0.393619,9.874580,1.573879,10.006967,80.951042,87.717293,-0.352941,9.317652,3.221637,9.865198,70.939529,92.169258,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.490050,9.397051,0.040050,10.024302,89.771088,110.374916,-0.877801,9.676348,-0.786332,9.747849,94.626923,95.183464,-1.225574,10.540383,-0.742672,10.637352,94.003502,96.632233
0.372084,9.872188,1.595415,10.007192,80.826370,87.841537,-0.317049,9.332008,3.235994,9.882235,70.885582,91.945839,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.517050,9.373051,0.043050,10.011272,89.753616,110.567604,-0.940299,9.787219,-0.783766,9.863474,94.557610,95.487801,-1.224377,10.551151,-0.718744,10.646243,93.871071,96.619118
0.352941,9.896116,1.604986,10.031633,80.793541,87.957436,-0.317049,9.298509,3.300600,9.872018,70.467659,91.952843,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.603000,9.349051,-0.007050,10.019302,90.040314,111.076004,-0.800477,9.824434,-0.923846,9.900190,95.354401,94.658066,-1.265055,10.591829,-0.734297,10.692353,93.937889,96.810966
0.285942,9.936794,1.571486,10.064354,81.016861,88.351707,-0.388834,9.274581,3.338885,9.864948,70.216957,92.400703,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.796950,9.124050,-0.046950,9.882678,90.272202,112.594513,-0.679484,9.863556,-1.180591,9.957170,96.809402,93.940788,-1.279412,10.596615,-0.685245,10.695546,93.673355,96.884445
0.242871,9.948758,1.557129,10.072806,81.107132,88.601563,-0.345763,9.293723,3.384349,9.896800,70.003426,92.130646,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.943050,8.917951,-0.049950,9.750896,90.293503,113.852501,-0.854060,9.828964,-1.376589,9.961574,97.943123,94.966080,-1.267448,10.575080,-0.668495,10.671721,93.591454,96.834435
0.235693,9.915258,1.542772,10.037333,81.158394,88.638290,-0.333799,9.262616,3.369992,9.862267,70.019180,92.063889,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.969000,8.887051,-0.055050,9.733224,90.324059,114.065773,-1.092551,9.832421,-1.128952,9.957144,96.510262,96.340538,-1.303341,10.529616,-0.731905,10.635187,93.946167,97.056099
0.254836,9.829117,1.578665,9.958346,80.878601,88.514847,-0.331406,9.226425,3.305385,9.806239,70.301559,92.057137,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.907050,9.007051,-0.055050,9.818097,90.321259,113.450089,-0.733354,10.014563,-1.185072,10.111067,96.730850,94.188217,-1.315305,10.535598,-0.776321,10.645728,94.181908,97.116211
0.252443,9.788439,1.564308,9.915862,80.923203,88.522675,-0.324227,9.212068,3.300600,9.790877,70.299118,92.015747,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-3.828000,9.196051,-0.031050,9.961019,90.178596,112.600288,-1.390121,9.841424,-1.413470,10.039121,98.093918,98.039955,-1.365704,10.514063,-0.754786,10.629222,94.072029,97.400887
0.259621,9.740582,1.437488,9.849504,81.607979,88.473228,-0.288335,9.212068,3.250350,9.772927,70.574120,91.792755,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-3.816000,9.385051,-0.021000,10.131213,90.118759,112.126862,-1.772954,9.302279,-1.189564,9.544150,97.159851,100.790787,-1.317698,10.437343,-0.801446,10.550676,94.356476,97.195435
0.290728,9.687941,1.375275,9.789387,81.924011,88.281113,-0.319442,9.197711,3.233601,9.754799,70.640869,91.989113,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-3.865950,9.546000,-0.049950,10.299232,90.277878,112.047020,-1.070237,8.840954,-1.038203,8.965810,96.649521,96.902328,-1.314108,10.383504,-0.806232,10.497335,94.404854,97.212852
0.300299,9.680762,1.418346,9.788720,81.668747,88.223244,-0.338584,9.212068,3.197708,9.757160,70.868980,92.104927,1.340000,9.807000,2.758000,10.275185,74.430107,82.219452,-3.913950,9.613050,-0.043050,10.379383,90.237640,112.153679,-0.368267,8.788779,-0.887942,8.841193,95.764069,92.399399,-1.341626,10.448111,-0.781107,10.562817,94.240822,97.317223
0.300299,9.671191,1.478166,9.788110,81.314163,88.221489,-0.362513,9.228818,3.164209,9.762925,71.088661,92.249451,1.341000,9.808000,2.759000,10.276537,74.426422,82.214500,-3.979050,9.643950,-0.021000,10.432596,90.115334,112.420822,0.219548,9.224400,-0.830300,9.264295,95.141953,88.636574,-1.321287,10.456486,-0.822981,10.571716,94.464851,97.201752
0.314656,9.606585,1.588236,9.742072,80.617271,88.123993,-0.350549,9.250652,3.096911,9.761574,71.502983,92.170151,1.342000,9.809000,2.760000,10.277891,74.422737,82.209549,-4.036050,9.591001,-0.021000,10.405644,90.115631,112.822159,0.250070,9.619424,-0.832512,9.658620,94.944672,88.510857,-1.336840,10.472039,-0.918844,10.596934,94.974274,97.274918
0.259621,9.522836,1.652842,9.668696,80.157066,88.438332,-0.355334,9.265009,3.128017,9.785252,71.357239,92.196350,1.338000,9.805000,2.756000,10.272478,74.437485,82.229355,-4.093950,9.493051,-0.058950,10.338371,90.326706,113.328491,-0.143250,9.924856,-0.747939,9.954029,94.309227,90.826920,-1.332054,10.487592,-0.955933,10.614978,95.166779,97.238518
0.211765,9.422338,1.669592,9.571459,79.954254,88.712509,-0.372084,9.288938,3.173780,9.823222,71.150131,92.293854,1.339000,9.806000,2.757000,10.273831,74.433792,82.224403,-4.168050,9.370951,-0.049950,10.256210,90.279045,113.978745,-0.704910,10.093705,-0.609592,10.136636,93.447708,93.994858,-1.324876,10.530812,-0.903291,10.652194,94.864441,97.170677
