Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.567000,9.649950,1.579050,9.794714,80.722603,86.637352
0.0023803,0.516000,9.604051,1.672950,9.762316,80.132622,86.924606
0.0047609,0.439950,9.457951,1.764000,9.631100,79.446320,87.336723
0.0071411,0.346050,9.298051,1.831050,9.482945,78.866905,87.868576
0.0095215,0.298050,9.142051,1.857000,9.333508,78.523819,88.132698
0.0119018,0.270000,8.971951,1.906950,9.176342,78.005867,88.276276
0.0142834,0.231000,8.887951,1.965000,9.105507,77.537331,88.511208
0.0166640,0.183000,8.827950,2.038950,9.062202,76.997414,88.812454
0.0190455,0.186000,8.854950,2.154000,9.115067,76.331024,88.796669
0.0214264,0.162000,8.914950,2.211000,9.186463,76.073311,88.958954
0.0238074,0.163950,8.995951,2.202000,9.262980,76.247963,88.955910
0.0261882,0.142950,9.111000,2.167950,9.366470,76.617043,89.101112
0.0285685,0.094950,9.243000,2.038950,9.465695,77.560760,89.411438
0.0309492,-0.021000,9.381001,1.918950,9.575280,78.439262,90.128258
0.0333295,-0.103050,9.496051,1.809000,9.667372,79.214989,90.621742
0.0357101,-0.081000,9.532050,1.725000,9.687217,79.742653,90.486870
0.0380907,0.054000,9.586950,1.713000,9.738937,79.869438,89.677277
0.0404713,0.163950,9.685950,1.680000,9.831933,80.161491,89.030273
0.0428516,0.291000,9.822001,1.639050,9.962071,80.530121,88.302971
0.0452320,0.490050,9.970051,1.588950,10.107761,80.955528,87.186050
0.0476126,0.661950,10.102051,1.573950,10.245337,81.162880,86.250977
0.0499935,0.873000,10.227000,1.534050,10.378198,81.499695,85.120934
0.0523742,1.042950,10.248000,1.452000,10.402767,81.976555,84.188957
0.0547551,1.186950,10.234051,1.414050,10.399240,82.184921,83.384369
0.0571362,1.282050,10.198050,1.404000,10.373770,82.221642,82.834641
0.0595172,1.366050,10.126051,1.408950,10.314463,82.148880,82.316925
0.0618984,1.396950,10.014001,1.474050,10.217853,81.705444,82.058502
0.0642787,1.420950,9.931951,1.512000,10.146373,81.429932,81.858025
0.0666597,1.414050,9.811951,1.560000,10.035314,81.057045,81.799278
0.0690406,1.348950,9.753000,1.632000,9.980186,80.588501,82.125305
0.0714215,1.291950,9.652050,1.656000,9.877933,80.348991,82.376137
0.0738024,1.182000,9.601951,1.677000,9.818703,80.165871,82.982193
0.0761839,1.087950,9.535050,1.663050,9.739946,80.168846,83.490700
0.0785649,0.997050,9.487050,1.608000,9.673877,80.431839,84.000473
0.0809455,0.901950,9.439051,1.548000,9.607574,80.727921,84.541664
0.0833264,0.753000,9.420000,1.467000,9.563237,81.175987,85.429703
0.0857068,0.658050,9.415051,1.447950,9.548443,81.277870,86.001907
0.0880874,0.592950,9.420000,1.444950,9.548606,81.296234,86.398216
0.0904674,0.502050,9.379050,1.447950,9.503430,81.236237,86.935944
0.0928474,0.451950,9.376950,1.438050,9.497338,81.291000,87.240593
0.0952276,0.388950,9.307051,1.512000,9.437088,80.780396,87.606949
0.0976077,0.328950,9.268950,1.572000,9.407063,80.380257,87.967461
0.0999877,0.319950,9.214050,1.618050,9.360512,80.045906,88.011253
0.1023683,0.286050,9.142051,1.653000,9.294694,79.755829,88.207832
0.1047495,0.238950,9.070050,1.665000,9.224702,79.601486,88.490898
0.1071307,0.186000,9.046050,1.669950,9.200780,79.542801,88.822083
0.1095117,0.178950,9.061050,1.696950,9.220320,79.394562,88.868591
0.1118919,0.205050,9.094050,1.711050,9.255889,79.346992,88.708328
0.1142729,0.142950,9.160951,1.692000,9.316991,79.536812,89.106010
0.1166539,0.136050,9.204000,1.632000,9.348559,79.946228,89.153137
0.1190344,0.139950,9.244950,1.519050,9.369963,80.670082,89.132721
0.1214150,0.121050,9.313951,1.510050,9.436343,80.791656,89.255386
0.1237954,0.169050,9.372001,1.621950,9.512817,80.183022,88.966621
0.1261760,0.163950,9.441000,1.749000,9.603039,79.506157,89.005119
0.1285568,0.190950,9.465000,1.846950,9.645409,78.960548,88.844254
0.1309371,0.159000,9.465000,1.912050,9.657507,78.580795,89.037598
0.1333175,0.151950,9.463051,2.013000,9.675980,77.992432,89.080070
0.1356975,0.195000,9.513000,2.187000,9.763103,77.055527,88.825699
0.1380779,0.301050,9.685950,2.668950,10.051445,74.601608,88.219757
0.1404585,0.423000,9.889050,3.138000,10.383607,72.409782,87.550690
0.1428391,0.490050,9.979951,3.016050,10.437247,73.203705,87.188835
0.1452197,0.508950,9.991950,2.737950,10.372775,74.695107,87.084099
0.1476003,0.471000,9.915001,2.448000,10.223590,76.146141,87.280281
0.1499806,0.472950,9.808050,2.254050,10.074833,77.071747,87.239304
0.1523615,0.346050,9.702001,2.143950,9.942086,77.546692,87.957245
0.1547421,0.079950,9.463051,2.167950,9.708539,77.096863,89.515938
0.1571233,0.229050,9.064950,2.383950,9.375980,75.270172,88.552582
0.1595040,0.375000,8.824050,2.644950,9.219558,73.328461,87.566536
0.1618846,0.418050,8.674951,2.653950,9.081464,73.008003,87.241020
0.1642656,0.435000,8.613001,2.496000,8.977919,73.858208,87.108734
0.1666465,0.375000,8.641951,2.242050,8.935924,75.469048,87.515327
0.1690268,0.283950,8.776051,2.049000,9.016545,76.864845,88.146835
0.1714073,0.109050,8.982000,1.954950,9.192935,77.721840,89.304413
0.1737876,-0.294000,9.535050,1.804050,9.708667,79.291145,91.766075
0.1761677,-0.426000,9.787951,1.567050,9.921748,80.912598,92.492104
0.1785479,-0.535950,9.951000,1.516950,10.080217,81.344803,93.082909
0.1809283,-0.559950,10.048950,1.471050,10.171476,81.684433,93.189354
0.1833090,-0.517050,10.084950,1.471050,10.204781,81.711761,92.934952
0.1856892,-0.381000,10.011001,1.503000,10.130365,81.467766,92.179520
0.1880701,-0.190950,9.886950,1.548000,10.009224,81.103073,91.106438
0.1904508,0.037050,9.670951,1.618050,9.805445,80.501869,89.780495
0.1928307,0.253050,9.469951,1.752000,9.633976,79.522095,88.469345
0.1952107,0.430050,9.283051,1.933950,9.492109,78.244080,87.347588
0.1975904,0.544950,9.172951,2.119950,9.430492,77.009033,86.600143
0.1999708,0.543000,9.171000,2.298000,9.470105,75.956505,86.611565
0.2023520,0.526050,9.211050,2.403000,9.533865,75.401215,86.731346
0.2047332,0.468000,9.226050,2.470050,9.562436,75.030334,87.096107
0.2071138,0.415950,9.298051,2.512950,9.640627,74.890625,87.438568
0.2094944,0.376950,9.372001,2.494050,9.705502,75.109482,87.696754
0.2118748,0.351000,9.445951,2.436000,9.761315,75.548729,87.871941
0.2142553,0.376950,9.487050,2.355000,9.782241,76.069641,87.724655
0.2166363,0.427950,9.549001,2.257050,9.821448,76.714218,87.433937
0.2190166,0.436950,9.538951,2.194950,9.797975,77.054695,87.377289
0.2213972,0.439950,9.571051,2.185050,9.827157,77.153015,87.368149
0.2237773,0.444000,9.618000,2.233050,9.883803,76.942413,87.356903
0.2261584,0.456000,9.618000,2.175000,9.871398,77.271378,87.285576
0.2285388,0.490050,9.616051,2.113050,9.857665,77.622253,87.082634
0.2309193,0.514050,9.553950,2.026950,9.780120,78.038635,86.920174
0.2332999,0.562050,9.499050,1.950000,9.713411,78.418983,86.613808
0.2356806,0.600000,9.427051,1.882950,9.631967,78.726669,86.358231
0.2380615,0.600000,9.463051,1.933950,9.677267,78.472122,86.372047
0.2404419,0.595050,9.439051,1.977000,9.662210,78.193237,86.392776
0.2428230,0.619050,9.373950,1.942950,9.593186,78.314796,86.221710
0.2452039,0.616950,9.310050,1.938000,9.529613,78.266129,86.208717
0.2475849,0.637950,9.316951,1.894950,9.529081,78.529716,86.082962
0.2499652,0.640950,9.324000,1.858950,9.529087,78.750504,86.067566
0.2523462,0.652950,9.322050,1.821000,9.520662,78.973198,85.993340
0.2547270,0.636000,9.376950,1.843050,9.577501,78.905052,86.119804
0.2571077,0.588000,9.388950,1.864050,9.590246,78.792114,86.416428
0.2594886,0.556950,9.441000,1.894950,9.645389,78.669868,86.623878
0.2618692,0.487950,9.415051,1.906950,9.618614,78.564995,87.033211
0.2642501,0.451950,9.388950,1.926000,9.595110,78.420509,87.244118
0.2666305,0.373050,9.346050,1.942950,9.553161,78.265144,87.714241
0.2690110,0.337050,9.337951,1.941000,9.543501,78.265053,87.932823
0.2713923,0.271950,9.319051,1.962000,9.527230,78.115700,88.328461
0.2737725,0.223950,9.280951,2.001000,9.496852,77.836540,88.617714
0.2761538,0.211950,9.300000,1.981050,9.511020,77.977844,88.694435
0.2785344,0.159000,9.324000,1.981050,9.533458,78.006554,89.023041
0.2809153,0.115950,9.361951,1.929000,9.559320,78.358192,89.290413
0.2832959,0.064050,9.405001,1.924050,9.600006,78.438377,89.609810
0.2856769,0.034950,9.451051,1.897950,9.639802,78.645035,89.788124
