Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-1.591526,9.518948,1.657329,9.792347,80.255936,99.491806
0.0025139,-1.553241,9.533304,1.616651,9.793365,80.498344,99.253769
0.0050306,-1.526621,9.535697,1.587937,9.786809,80.662323,99.095604
0.0075474,-1.541277,9.590733,1.527817,9.833205,81.061554,99.129646
0.0100642,-1.613062,9.691231,1.467997,9.933626,81.501671,99.449989
0.0125810,-1.646561,9.734302,1.424926,9.974879,81.787117,99.600731
0.0150978,-1.677668,9.736694,1.400998,9.979007,81.929329,99.776276
0.0176146,-1.713560,9.686445,1.379462,9.933098,82.017227,100.031998
0.0201314,-1.792523,9.734302,1.381855,9.993963,82.052307,100.433846
0.0226443,-1.782952,9.707980,1.360320,9.963648,82.153000,100.406876
0.0251610,-1.787738,9.715159,1.345963,9.969551,82.240952,100.426651
0.0276777,-1.799702,9.700802,1.322034,9.954510,82.368134,100.510071
0.0301944,-1.797309,9.674481,1.379462,9.936237,82.019768,100.524330
0.0327111,-1.787738,9.664909,1.403391,9.928544,81.874084,100.479668
0.0352278,-1.785345,9.614660,1.355534,9.872519,82.108147,100.519432
0.0377445,-1.744667,9.499506,1.384248,9.757081,81.843864,100.406891
0.0402611,-1.725524,9.434899,1.408176,9.694211,81.647690,100.364136
0.0427744,-1.720739,9.391829,1.456033,9.658541,81.329559,100.382385
0.0452910,-1.668097,9.358330,1.487139,9.621459,81.108444,100.106674
0.0478077,-1.625026,9.348758,1.484746,9.604398,81.106964,99.860779
0.0503243,-1.565205,9.348758,1.508675,9.598189,80.956558,99.504532
0.0528409,-1.569991,9.317652,1.542174,9.574018,80.730461,99.564293
0.0553575,-1.555634,9.322437,1.556830,9.578703,80.646202,99.473648
0.0578741,-1.538585,9.336794,1.546960,9.588328,80.715446,99.357521
0.0603907,-1.541277,9.401401,1.559223,9.653654,80.705078,99.310318
0.0628607,-1.565205,9.463614,1.566401,9.719232,80.725464,99.391243
0.0653253,-1.574776,9.406186,1.564009,9.664491,80.686844,99.504272
0.0678395,-1.572384,9.430114,1.571187,9.688553,80.667160,99.466446
0.0703536,-1.591526,9.418150,1.590330,9.683164,80.547112,99.591515
0.0728679,-1.617847,9.489935,1.616651,9.761653,80.467186,99.674789
0.0753820,-1.632204,9.554840,1.614258,9.826743,80.545059,99.693970
