"Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)"
"0.4128067,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.4178401,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.4228745,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.4279088,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.4329438,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.4379787,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.4430111,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.4480435,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.4530788,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.4581141,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.4631494,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.4681847,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.4732196,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.4782545,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.4832902,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.4883259,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.4933600,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.4983939,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.5034271,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.5084602,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.5134966,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.5185330,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.5235664,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.5285999,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.5336342,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.5386684,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.5437005,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.5487326,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.5537667,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.5588008,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.5638371,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.5688735,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.5739069,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.5789404,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.5839769,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.5890133,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.5940493,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.5990852,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.6041182,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.6091511,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.6141847,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.6192182,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.6242516,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.6292850,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.6343167,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.6393484,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.6443813,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.6494144,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.6544490,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.6594837,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.6645184,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.6695530,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.6745861,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.6796191,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.6846505,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.6896818,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.6947153,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.6997489,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.7047818,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.7098148,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.7148502,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.7198856,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.7249207,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.7299558,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.7349880,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.7400201,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.7450538,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.7500876,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.7551214,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.7601551,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.7651901,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.7702251,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.7752569,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.7802888,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.7853235,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.7903582,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.7953921,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.8004260,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.8054599,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.8104938,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.8155282,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.8205627,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.8255955,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
"0.8306283,0.000000,8.199000,2.069000,8.456026,75.837219,90.000000"
"0.8356590,0.001000,8.200000,2.070000,8.457239,75.832306,89.993011"
"0.8406897,-0.001000,8.196000,2.066000,8.452383,75.851959,90.006989"
"0.8457235,0.000000,8.197000,2.067000,8.453596,75.847046,90.000000"
"0.8507572,0.000000,8.198000,2.068000,8.454811,75.842133,90.000000"
