Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.733998,9.660423,0.000598,9.688268,89.996460,94.344978
0.0023475,-0.657428,9.559925,0.010169,9.582509,89.939194,93.933990
0.0046944,-0.676571,9.574282,-0.028116,9.598198,90.167831,94.042114
0.0070418,-0.733998,9.612567,-0.052044,9.640690,90.309303,94.366531
0.0093885,-0.686142,9.646067,-0.066401,9.670667,90.393410,94.068695
0.0117357,-0.652642,9.650852,-0.109472,9.673514,90.648407,93.868759
0.0140826,-0.643071,9.641280,-0.114257,9.663379,90.677467,93.815964
0.0164291,-0.619143,9.698709,-0.119043,9.719180,90.701790,93.652672
0.0187760,-0.542573,9.703494,-0.061615,9.718847,90.363243,93.200371
0.0211234,-0.485145,9.722636,-0.090329,9.735151,90.531631,92.856606
0.0234704,-0.451645,9.727423,-0.052044,9.738041,90.306213,92.658340
0.0258174,-0.413360,9.727423,-0.061615,9.736397,90.362587,92.433281
0.0281644,-0.413360,9.703494,-0.075972,9.712592,90.448174,92.439278
0.0305122,-0.384646,9.722636,-0.071186,9.730502,90.419167,92.265549
0.0328591,-0.360718,9.751350,-0.075972,9.758316,90.446075,92.118500
0.0352059,-0.351147,9.732208,-0.056830,9.738707,90.334351,92.066383
0.0375528,-0.351147,9.708280,-0.004187,9.714629,90.024696,92.071472
0.0398996,-0.384646,9.689137,0.019741,9.696790,89.883354,92.273376
0.0422470,-0.442074,9.679565,0.053240,9.689801,89.685188,92.614929
0.0445940,-0.485145,9.660423,0.110668,9.673230,89.344482,92.874969
0.0469412,-0.485145,9.631709,0.158524,9.645223,89.058273,92.883522
0.0492890,-0.528216,9.588638,0.168096,9.604648,88.997185,93.153107
0.0516361,-0.542573,9.631709,0.182453,9.648705,88.916496,93.224174
0.0539837,-0.518644,9.669994,0.172881,9.685435,88.977234,93.070084
0.0563310,-0.566501,9.698709,0.144168,9.716309,89.149834,93.342842
0.0586780,-0.552144,9.622138,0.163310,9.639350,89.029243,93.284180
0.0610251,-0.528216,9.626924,0.120239,9.642154,89.285492,93.140587
0.0633722,-0.556929,9.665209,0.086740,9.681630,89.486671,93.297859
0.0657194,-0.580858,9.660423,0.062812,9.678074,89.628143,93.440910
0.0680671,-0.590429,9.684352,0.053240,9.702480,89.685600,93.488853
0.0704144,-0.585643,9.698709,0.091525,9.716805,89.460304,93.455536
0.0727617,-0.619143,9.684352,0.129811,9.704992,89.233612,93.658073
0.0751088,-0.643071,9.660423,0.201595,9.683902,88.807152,93.808426
0.0774561,-0.647857,9.631709,0.235095,9.656335,88.604927,93.848083
0.0798031,-0.705284,9.641280,0.259023,9.670512,88.465157,94.183884
0.0821505,-0.767498,9.617352,0.220738,9.650454,88.689339,94.562729
0.0844978,-0.839283,9.602996,0.220738,9.642129,88.688210,94.994843
0.0868448,-0.863211,9.602996,0.105882,9.642296,89.370819,95.136497
0.0891917,-0.930210,9.631709,0.005384,9.676525,89.968124,95.516396
0.0915386,-0.997209,9.579067,-0.018544,9.630851,90.110321,95.943253
0.0938855,-1.054637,9.535996,-0.047258,9.594254,90.282219,96.310997
0.0962325,-1.088136,9.559925,-0.037687,9.621727,90.224419,96.493614
0.0985798,-1.078565,9.588638,-0.008973,9.649113,90.053284,96.417862
0.1009270,-1.016351,9.602996,0.010169,9.656635,89.939659,96.041519
0.1032742,-0.911067,9.588638,0.048455,9.631946,89.711769,95.427681
0.1056213,-0.877568,9.612567,0.077169,9.652851,89.541954,95.216293
0.1079685,-0.748355,9.655638,0.096311,9.685074,89.430222,94.431824
0.1103157,-0.686142,9.679565,0.129811,9.704721,89.233589,94.054665
0.1126632,-0.566501,9.741779,-0.008973,9.758242,90.052689,93.328094
0.1150099,-0.533001,9.736994,-0.176471,9.753168,91.036751,93.133232
0.1173572,-0.451645,9.746565,-0.257827,9.760430,91.513672,92.653130
0.1197043,-0.399003,9.823135,-0.233898,9.834018,91.362885,92.326004
0.1220516,-0.394218,9.803992,-0.195613,9.813865,91.142113,92.302620
0.1243990,-0.332004,9.794421,-0.109472,9.800658,90.639999,91.941429
0.1267461,-0.303290,9.799207,-0.075972,9.804193,90.443985,91.772766
0.1290934,-0.303290,9.760921,-0.071186,9.765892,90.417648,91.779716
0.1314408,-0.260219,9.890134,-0.032901,9.893611,90.190536,91.507164
0.1337878,-0.245863,9.933205,-0.133400,9.937142,90.769180,91.417870
0.1361353,-0.432503,9.693923,-0.487538,9.715807,92.876305,92.554604
0.1384826,-0.595215,9.507282,-0.597607,9.544622,93.589752,93.582397
0.1408298,-0.743570,9.512068,-0.588036,9.559190,93.526794,94.469788
0.1431771,-0.853639,9.507282,-0.454038,9.556321,92.723251,95.130714
0.1455243,-0.978066,9.555139,-0.229113,9.607798,91.366432,95.844452
0.1478716,-1.045065,9.655638,-0.162114,9.713382,90.956299,96.177284
0.1502188,-1.131207,9.646067,-0.004187,9.712170,90.024704,96.688599
0.1525658,-1.102493,9.636495,0.081954,9.699703,89.515892,96.526726
0.1549127,-1.049851,9.622138,0.101097,9.679770,89.401588,96.226791
0.1572594,-1.049851,9.646067,0.072383,9.703300,89.572594,96.211464
0.1596063,-0.968495,9.612567,0.000598,9.661233,89.996452,95.753304
0.1619535,-0.915853,9.588638,-0.085543,9.632657,90.508827,95.456017
0.1643006,-0.834497,9.593424,-0.123829,9.630446,90.736732,94.971436
0.1666474,-0.796212,9.612567,-0.171685,9.647014,91.019730,94.735016
0.1689948,-0.743570,9.641280,-0.195613,9.671889,91.158882,94.410126
0.1713421,-0.748355,9.674780,-0.195613,9.705651,91.154854,94.423088
0.1736890,-0.686142,9.684352,-0.219541,9.711110,91.295410,94.052666
0.1760358,-0.681356,9.679565,-0.176471,9.705121,91.041878,94.026474
0.1783824,-0.647857,9.684352,-0.123829,9.706788,90.730934,93.827232
0.1807298,-0.643071,9.684352,-0.032901,9.705735,90.194229,93.799042
0.1830772,-0.595215,9.669994,0.019741,9.688315,89.883255,93.522270
0.1854243,-0.614357,9.679565,0.038883,9.699120,89.770302,93.631660
